Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.31243409 Degree
Longitude: -79.46987424 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,18,20,22,23
10-min:, 12,15,18,20,23,25,27,29,32,34
15-min:, 15,18,22,25,28,31,34,36,40,42
30-min:, 20,24,30,34,40,44,49,53,59,63
60-min:, 24,30,38,44,52,58,65,72,81,89
2-hr:, 29,35,44,51,61,69,77,86,98,107
3-hr:, 31,37,46,54,65,73,82,92,105,116
6-hr:, 37,44,55,64,77,87,98,110,126,140
12-hr:, 44,53,65,75,90,103,116,130,151,167
24-hr:, 52,62,76,88,104,117,130,145,165,181
2-day:, 61,73,88,100,118,132,146,161,182,198
3-day:, 66,78,93,106,124,138,153,168,189,205
4-day:, 70,83,99,112,130,145,160,175,196,212
7-day:, 84,99,117,131,150,165,180,196,216,232
10-day:, 97,114,133,149,169,185,201,216,237,253
20-day:, 136,160,184,203,228,247,266,285,308,326
30-day:, 171,200,229,251,280,302,323,344,370,389
45-day:, 220,256,289,314,347,370,393,414,440,458
60-day:, 265,308,345,373,409,434,458,480,507,525

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,17,18,20,21,24,25
10-min:, 14,16,20,22,25,28,30,32,35,37
15-min:, 17,20,24,27,31,34,37,40,43,46
30-min:, 22,27,33,38,44,49,53,58,64,69
60-min:, 27,33,42,48,57,64,71,79,89,97
2-hr:, 31,38,48,55,66,75,83,93,105,116
3-hr:, 34,41,51,59,71,80,89,100,114,125
6-hr:, 41,49,61,70,84,95,107,120,137,152
12-hr:, 49,59,72,83,100,113,127,142,164,182
24-hr:, 56,67,82,94,111,125,140,155,176,193
2-day:, 66,78,95,108,126,141,156,172,193,210
3-day:, 70,84,100,114,133,148,163,179,201,218
4-day:, 75,89,106,120,139,155,171,187,209,226
7-day:, 90,106,125,140,160,176,192,208,229,246
10-day:, 103,121,141,157,179,195,212,228,250,267
20-day:, 144,169,194,214,241,261,280,299,324,343
30-day:, 180,211,241,264,294,317,340,361,389,409
45-day:, 230,268,303,329,363,388,411,433,461,480
60-day:, 277,322,361,390,427,453,478,501,529,548

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,16,17,19,20
10-min:, 11,13,16,18,21,22,24,26,28,30
15-min:, 14,16,20,22,26,28,30,32,35,37
30-min:, 18,22,27,31,36,40,43,47,52,56
60-min:, 22,27,34,39,47,52,58,64,72,78
2-hr:, 26,31,40,46,55,62,69,76,86,94
3-hr:, 28,34,42,49,58,66,74,82,93,102
6-hr:, 33,40,50,58,69,78,88,97,111,122
12-hr:, 40,48,59,68,81,92,103,115,131,145
24-hr:, 49,58,71,81,96,108,120,133,150,164
2-day:, 57,68,82,93,109,122,135,148,166,180
3-day:, 61,73,87,99,115,128,141,155,173,187
4-day:, 65,77,93,105,121,134,148,161,179,193
7-day:, 79,93,110,123,140,154,168,182,200,213
10-day:, 91,108,126,140,159,174,188,202,220,234
20-day:, 129,151,174,192,216,234,251,268,289,304
30-day:, 163,190,217,239,266,286,306,325,348,365
45-day:, 210,245,276,300,330,353,374,393,417,434
60-day:, 254,295,331,358,391,415,437,458,482,499

Date/time (GMT):  Thu Feb 29 23:18:29 2024
pyRunTime:  0.00922703742980957
