Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.11021497 Degree
Longitude: -76.80215866 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 15,18,21,24,27,29,31,33,36,38
15-min:, 19,22,27,30,34,37,39,42,45,47
30-min:, 26,31,38,43,50,55,60,65,71,76
60-min:, 32,39,49,56,66,75,83,91,103,112
2-hr:, 38,46,58,68,81,92,103,115,131,144
3-hr:, 41,50,63,74,89,101,115,128,148,164
6-hr:, 50,61,76,90,109,125,143,162,189,213
12-hr:, 60,72,92,109,134,157,181,208,249,285
24-hr:, 68,83,107,128,161,189,221,257,312,360
2-day:, 79,96,124,148,185,218,254,294,355,408
3-day:, 84,101,131,156,194,227,264,305,367,420
4-day:, 88,107,138,164,203,237,275,316,379,432
7-day:, 102,124,156,184,226,261,300,343,406,460
10-day:, 117,140,175,204,245,280,317,357,416,465
20-day:, 156,186,225,257,301,336,373,412,465,507
30-day:, 193,229,273,308,355,393,431,471,523,564
45-day:, 243,287,335,373,423,460,497,533,579,614
60-day:, 289,340,393,432,483,521,556,590,633,663

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,16,18,20,22,23,25,27
10-min:, 16,20,23,26,29,32,34,37,40,42
15-min:, 21,25,29,33,37,40,44,46,50,53
30-min:, 28,34,42,48,55,61,67,72,80,86
60-min:, 35,43,54,62,73,83,92,101,115,126
2-hr:, 42,51,64,75,90,102,115,128,147,162
3-hr:, 46,56,71,83,99,113,128,144,166,185
6-hr:, 57,68,86,101,122,141,161,182,215,242
12-hr:, 68,82,104,123,152,177,205,236,284,327
24-hr:, 77,93,121,144,180,211,246,286,346,399
2-day:, 88,107,138,165,206,241,280,325,393,452
3-day:, 93,113,145,173,215,251,291,336,404,462
4-day:, 98,118,152,181,224,260,301,346,415,473
7-day:, 112,135,171,201,246,284,326,372,441,500
10-day:, 127,153,190,221,266,303,343,387,450,503
20-day:, 168,200,242,276,323,361,400,441,499,545
30-day:, 207,245,291,328,379,419,460,502,559,604
45-day:, 258,305,357,396,448,488,527,566,616,653
60-day:, 305,359,415,457,510,550,588,624,669,703

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 14,16,19,21,24,26,28,29,31,33
15-min:, 17,20,24,27,30,33,35,37,39,41
30-min:, 23,28,34,39,45,49,54,58,63,66
60-min:, 29,35,44,51,60,67,74,81,90,97
2-hr:, 34,42,53,61,73,82,91,101,114,124
3-hr:, 37,45,56,66,79,89,100,111,126,138
6-hr:, 45,54,68,80,96,110,124,139,160,177
12-hr:, 53,64,81,96,117,136,155,176,206,232
24-hr:, 61,74,96,115,143,167,194,224,267,305
2-day:, 71,87,112,134,166,193,224,257,305,347
3-day:, 76,92,119,141,175,203,234,268,318,360
4-day:, 81,98,126,149,184,213,245,280,331,373
7-day:, 94,114,144,169,206,237,270,307,359,402
10-day:, 108,130,162,188,225,256,289,323,372,412
20-day:, 146,174,210,239,279,311,344,377,423,459
30-day:, 181,214,255,287,331,365,400,434,480,515
45-day:, 228,270,315,350,396,430,464,496,537,567
60-day:, 272,321,371,408,456,490,522,553,591,617

Date/time (GMT):  Thu Feb 29 23:18:31 2024
pyRunTime:  0.021641254425048828
