Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.60657685 Degree
Longitude: -80.64015052 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,22,24
10-min:, 13,16,19,21,24,26,28,30,33,34
15-min:, 16,19,23,26,30,32,35,37,41,43
30-min:, 21,26,32,36,42,46,51,55,60,64
60-min:, 26,32,40,46,55,61,68,74,83,90
2-hr:, 30,37,46,53,63,71,79,87,99,108
3-hr:, 32,39,49,57,68,76,85,95,107,118
6-hr:, 39,47,58,68,80,91,102,114,130,143
12-hr:, 47,56,69,79,94,107,120,134,154,170
24-hr:, 55,65,79,91,107,119,133,147,167,183
2-day:, 64,76,92,104,121,135,149,163,183,199
3-day:, 69,82,98,111,128,142,156,170,189,204
4-day:, 74,88,104,117,135,149,163,177,196,210
7-day:, 91,107,126,140,159,174,188,203,221,235
10-day:, 105,124,144,160,180,195,209,224,242,256
20-day:, 150,175,201,220,245,263,279,296,316,330
30-day:, 190,222,252,274,302,322,341,358,379,395
45-day:, 246,286,320,346,377,400,420,439,462,478
60-day:, 299,347,386,414,449,473,496,516,539,555

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,18,19,21,22,25,26
10-min:, 15,18,21,24,27,29,31,33,36,38
15-min:, 18,22,26,29,33,36,39,42,45,48
30-min:, 24,29,36,41,47,51,56,61,67,71
60-min:, 29,36,45,52,61,68,75,82,92,100
2-hr:, 34,41,52,60,71,79,88,97,110,120
3-hr:, 36,44,55,63,75,85,94,105,118,130
6-hr:, 43,53,65,75,89,100,112,125,142,157
12-hr:, 52,62,76,87,104,117,131,146,167,185
24-hr:, 59,71,86,98,115,129,143,158,179,196
2-day:, 69,82,99,112,130,144,159,174,195,212
3-day:, 74,88,105,119,137,152,167,182,202,218
4-day:, 79,94,112,126,144,159,174,189,209,225
7-day:, 97,114,134,150,170,185,201,216,236,251
10-day:, 112,132,154,170,191,207,223,238,258,272
20-day:, 159,186,213,233,259,278,296,313,335,350
30-day:, 200,234,265,289,318,339,358,377,400,416
45-day:, 258,300,336,363,396,420,441,461,486,503
60-day:, 312,363,403,433,470,495,519,540,565,582

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,19,21
10-min:, 12,14,17,19,22,23,25,27,29,30
15-min:, 15,18,21,24,27,29,31,33,36,38
30-min:, 19,23,29,33,38,41,45,48,53,56
60-min:, 24,29,36,42,49,54,60,66,73,79
2-hr:, 27,33,41,48,56,63,70,77,86,93
3-hr:, 29,35,44,51,60,68,75,83,93,102
6-hr:, 35,43,53,61,72,81,90,100,113,124
12-hr:, 43,51,63,72,85,96,107,118,135,148
24-hr:, 51,61,74,84,99,110,122,135,152,165
2-day:, 60,71,85,96,112,124,137,149,166,180
3-day:, 64,76,91,103,119,131,144,156,173,186
4-day:, 69,82,97,109,126,138,151,163,180,193
7-day:, 85,101,118,132,149,163,176,188,205,217
10-day:, 99,116,135,150,168,182,196,208,225,237
20-day:, 142,166,190,208,231,248,263,278,296,309
30-day:, 181,211,239,260,286,305,322,338,358,372
45-day:, 234,272,305,329,359,380,399,417,437,452
60-day:, 285,331,368,396,428,452,472,491,512,527

Date/time (GMT):  Thu Feb 29 23:18:33 2024
pyRunTime:  0.03625631332397461
