Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.37287843 Degree
Longitude: -75.62738513 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,24
10-min:, 15,17,20,23,26,28,30,33,35,37
15-min:, 18,22,26,29,33,36,38,41,44,47
30-min:, 25,30,37,42,49,54,59,64,70,76
60-min:, 31,38,47,55,65,73,81,90,101,110
2-hr:, 38,46,58,68,81,93,104,116,132,146
3-hr:, 41,50,63,75,90,103,116,131,150,167
6-hr:, 51,62,77,91,111,128,147,166,195,220
12-hr:, 61,73,92,110,136,160,185,214,256,294
24-hr:, 72,87,113,136,170,201,235,273,332,383
2-day:, 83,101,131,157,196,230,269,312,377,434
3-day:, 88,107,138,165,205,240,278,322,387,444
4-day:, 93,112,145,172,213,249,288,332,397,453
7-day:, 106,128,163,192,235,271,312,356,422,477
10-day:, 120,144,180,209,251,287,325,366,426,480
20-day:, 159,189,229,261,306,342,380,419,473,516
30-day:, 198,235,280,316,365,403,443,482,537,578
45-day:, 249,293,344,382,433,471,509,545,593,628
60-day:, 298,350,405,446,498,537,573,608,651,683

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,22,25,29,31,34,36,39,42
15-min:, 20,24,28,32,36,40,43,46,50,53
30-min:, 28,33,40,46,54,60,66,71,79,85
60-min:, 34,42,52,60,72,81,90,100,113,125
2-hr:, 42,51,64,76,91,103,116,130,149,166
3-hr:, 46,56,70,83,100,115,130,146,169,189
6-hr:, 57,69,86,102,124,143,164,187,220,251
12-hr:, 68,82,103,124,152,179,208,241,292,338
24-hr:, 78,95,124,148,185,217,254,295,357,412
2-day:, 90,110,143,171,213,250,291,337,407,469
3-day:, 95,116,150,179,222,259,301,347,418,479
4-day:, 100,122,157,186,231,268,310,357,428,490
7-day:, 115,138,175,206,252,291,334,381,451,512
10-day:, 129,154,192,223,269,306,347,390,455,513
20-day:, 169,201,243,277,324,362,402,444,502,548
30-day:, 210,249,296,334,386,426,468,510,569,614
45-day:, 261,309,362,402,455,495,535,574,626,664
60-day:, 312,367,424,467,521,562,600,637,684,718

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,16,17,18,19,20
10-min:, 13,16,18,21,23,25,27,29,31,32
15-min:, 16,20,23,26,29,32,34,36,38,40
30-min:, 22,27,33,38,43,48,52,56,61,65
60-min:, 28,34,42,49,58,65,72,79,88,95
2-hr:, 34,41,52,61,72,82,91,101,113,124
3-hr:, 37,45,56,67,79,91,102,113,128,141
6-hr:, 46,55,69,81,98,112,127,143,164,183
12-hr:, 54,65,82,98,119,139,159,181,212,240
24-hr:, 66,80,104,124,155,181,210,242,290,330
2-day:, 76,93,121,144,179,209,242,278,332,377
3-day:, 81,99,128,152,188,218,252,288,342,388
4-day:, 86,104,134,159,196,228,261,299,353,398
7-day:, 99,120,151,178,217,249,284,322,377,422
10-day:, 112,135,168,195,234,265,299,334,385,430
20-day:, 150,179,217,246,288,321,354,389,436,472
30-day:, 188,223,265,299,344,379,415,450,497,533
45-day:, 237,279,327,364,411,446,481,514,556,587
60-day:, 284,334,386,425,473,509,543,575,614,641

Date/time (GMT):  Thu Feb 29 23:18:35 2024
pyRunTime:  0.008985280990600586
