Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.27995545 Degree
Longitude: -76.70633362 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,26
10-min:, 16,19,23,25,29,31,34,36,39,41
15-min:, 21,25,29,32,36,39,43,45,49,52
30-min:, 28,34,41,47,54,59,65,71,78,84
60-min:, 35,42,52,61,72,81,90,99,112,123
2-hr:, 42,51,64,75,91,104,118,132,152,170
3-hr:, 45,54,68,81,99,114,130,148,173,195
6-hr:, 54,66,82,98,120,140,160,183,215,244
12-hr:, 65,78,99,118,146,171,197,227,270,310
24-hr:, 75,91,117,140,174,203,235,270,324,370
2-day:, 87,106,136,162,201,235,272,314,378,432
3-day:, 92,112,143,169,209,242,279,321,385,440
4-day:, 97,118,150,177,216,250,286,328,392,448
7-day:, 114,137,172,202,244,280,319,360,421,471
10-day:, 130,156,193,224,268,305,344,386,447,497
20-day:, 176,209,254,291,342,384,427,473,537,589
30-day:, 217,258,309,350,405,450,495,541,604,653
45-day:, 270,320,380,428,495,548,602,657,734,794
60-day:, 323,381,447,499,568,622,676,729,801,856

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,14,16,18,20,22,24,25,27,29
10-min:, 18,22,25,28,32,35,37,40,43,46
15-min:, 23,27,32,36,40,44,47,51,55,58
30-min:, 31,38,45,52,60,66,73,79,87,94
60-min:, 39,47,58,68,80,90,100,110,125,137
2-hr:, 47,57,71,83,100,115,130,146,168,188
3-hr:, 50,61,76,91,110,126,144,164,192,216
6-hr:, 61,74,93,110,135,156,178,203,240,272
12-hr:, 76,91,115,137,169,197,228,261,312,357
24-hr:, 83,101,131,157,195,227,263,303,363,415
2-day:, 99,120,154,184,228,266,309,358,430,495
3-day:, 104,127,162,192,236,274,316,364,437,502
4-day:, 110,134,170,200,245,282,323,371,444,509
7-day:, 127,153,192,225,272,312,355,402,471,530
10-day:, 143,172,213,247,296,336,380,427,496,554
20-day:, 191,227,276,316,371,416,465,515,587,647
30-day:, 234,278,333,376,436,483,532,582,652,706
45-day:, 288,341,406,457,528,584,642,704,789,857
60-day:, 344,406,475,530,604,662,719,778,858,920

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 15,18,20,23,26,28,30,32,34,36
15-min:, 19,22,26,29,33,35,38,40,43,45
30-min:, 25,31,37,42,48,53,58,62,68,73
60-min:, 32,38,47,55,64,72,80,88,98,107
2-hr:, 38,46,58,68,82,93,105,117,133,147
3-hr:, 41,49,62,73,88,102,115,130,150,168
6-hr:, 49,59,74,88,107,123,140,159,184,207
12-hr:, 57,69,87,103,126,147,168,192,224,253
24-hr:, 68,83,106,126,155,180,207,235,277,313
2-day:, 78,94,121,144,177,205,236,269,318,359
3-day:, 82,100,128,151,185,213,243,277,326,368
4-day:, 87,105,134,158,192,220,250,285,334,377
7-day:, 103,124,156,182,219,249,281,316,364,402
10-day:, 119,143,176,204,243,275,308,343,392,430
20-day:, 163,194,235,268,314,351,389,427,480,521
30-day:, 203,241,288,325,376,416,456,495,548,588
45-day:, 254,301,356,400,461,508,555,603,667,715
60-day:, 304,359,421,469,533,581,629,675,737,782

Date/time (GMT):  Thu Feb 29 23:18:37 2024
pyRunTime:  0.008844852447509766
