Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.17144646 Degree
Longitude: -78.17333437 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,22,25,27
10-min:, 13,16,19,21,25,27,30,33,36,39
15-min:, 16,19,23,26,30,34,37,41,45,49
30-min:, 21,26,32,37,43,48,54,59,68,74
60-min:, 26,32,40,47,56,64,72,81,94,105
2-hr:, 31,37,48,56,69,79,90,102,120,135
3-hr:, 33,40,51,60,73,84,96,109,129,146
6-hr:, 42,50,63,74,89,102,117,133,156,176
12-hr:, 51,61,77,90,109,126,144,165,196,222
24-hr:, 61,73,91,106,128,147,167,189,220,247
2-day:, 70,85,105,123,148,170,193,219,256,288
3-day:, 75,90,112,131,157,179,203,229,267,298
4-day:, 80,96,119,138,166,189,213,239,277,308
7-day:, 93,111,136,157,185,208,232,257,292,321
10-day:, 106,126,153,174,203,226,250,275,308,336
20-day:, 143,169,199,222,253,276,299,322,351,373
30-day:, 176,206,239,264,295,319,343,365,393,414
45-day:, 220,258,294,321,354,378,401,421,447,464
60-day:, 263,307,347,376,410,434,456,476,500,516

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,18,20,22,24,27,30
10-min:, 15,17,21,24,27,30,33,36,40,43
15-min:, 18,21,26,29,34,37,41,45,50,54
30-min:, 24,29,36,41,48,54,59,66,75,82
60-min:, 29,35,45,52,62,71,80,89,104,115
2-hr:, 34,42,54,63,76,87,99,113,132,149
3-hr:, 37,45,57,67,81,93,106,120,142,160
6-hr:, 46,56,70,82,99,113,128,145,171,193
12-hr:, 57,68,85,99,120,138,158,180,213,242
24-hr:, 66,79,99,115,138,158,179,202,236,265
2-day:, 76,91,114,133,160,183,208,235,275,310
3-day:, 81,97,121,141,169,193,218,246,287,322
4-day:, 86,103,128,149,178,203,229,258,299,334
7-day:, 100,119,146,168,198,223,249,276,315,346
10-day:, 113,135,163,186,217,242,267,294,331,361
20-day:, 152,179,211,235,268,293,317,341,374,398
30-day:, 185,218,252,278,311,337,362,385,416,439
45-day:, 230,270,308,336,371,397,420,443,470,489
60-day:, 275,321,362,392,428,454,477,499,524,542

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,16,17,19,21,23
10-min:, 12,14,17,19,22,24,26,28,31,34
15-min:, 14,17,21,23,27,30,32,35,39,42
30-min:, 19,23,28,33,38,43,47,52,58,63
60-min:, 23,28,36,42,50,56,63,71,81,89
2-hr:, 28,34,43,50,61,69,79,89,104,116
3-hr:, 30,36,46,54,65,74,84,95,111,124
6-hr:, 38,45,57,66,79,91,103,116,135,150
12-hr:, 46,55,69,81,97,111,126,143,168,188
24-hr:, 57,68,85,98,118,134,152,170,196,217
2-day:, 65,79,98,114,136,155,175,196,227,252
3-day:, 70,84,104,121,145,164,185,207,238,262
4-day:, 75,89,111,128,153,174,195,217,248,273
7-day:, 87,104,127,146,172,192,213,235,264,287
10-day:, 99,119,143,163,189,210,231,252,281,303
20-day:, 135,160,188,210,238,259,280,300,325,344
30-day:, 167,196,227,250,280,302,323,343,368,386
45-day:, 210,246,280,306,337,360,380,399,421,437
60-day:, 252,294,332,359,392,415,435,454,475,489

Date/time (GMT):  Thu Feb 29 23:18:39 2024
pyRunTime:  0.011198997497558594
