Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.97453408 Degree
Longitude: -82.62413781 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,15,17,19,22,25,27,30,34,36
15-min:, 15,18,22,25,28,31,34,38,42,46
30-min:, 21,25,31,36,42,47,53,59,67,74
60-min:, 26,32,40,46,56,64,73,82,96,108
2-hr:, 30,36,45,54,66,77,89,102,123,141
3-hr:, 33,39,48,57,69,80,93,107,128,146
6-hr:, 39,47,57,67,81,93,106,121,143,162
12-hr:, 47,56,68,79,94,108,123,139,163,183
24-hr:, 57,68,83,96,115,131,148,166,193,215
2-day:, 69,83,100,115,136,154,173,193,221,245
3-day:, 75,89,108,124,146,164,183,203,231,254
4-day:, 81,96,116,133,155,174,193,213,242,264
7-day:, 99,118,140,157,179,196,213,229,252,273
10-day:, 116,137,159,176,196,212,226,240,258,278
20-day:, 161,189,218,240,266,285,302,319,339,353
30-day:, 199,234,265,289,317,337,355,372,392,406
45-day:, 253,295,331,357,387,408,427,444,463,476
60-day:, 305,356,399,429,464,489,510,530,552,566

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,17,19,21,23,25
10-min:, 14,16,19,21,25,27,30,33,37,40
15-min:, 17,20,24,27,31,35,38,41,46,50
30-min:, 23,28,34,39,46,52,58,64,74,81
60-min:, 29,35,44,51,62,70,80,90,106,119
2-hr:, 34,40,50,59,73,85,98,113,136,156
3-hr:, 36,44,54,63,77,89,103,118,142,162
6-hr:, 43,52,64,74,89,102,117,133,158,179
12-hr:, 52,62,75,87,104,119,135,153,179,202
24-hr:, 63,75,91,106,126,143,162,183,214,240
2-day:, 75,90,109,125,148,168,189,212,246,275
3-day:, 82,97,117,134,158,178,200,223,256,285
4-day:, 88,104,126,144,169,189,211,234,267,294
7-day:, 106,126,150,169,192,211,229,248,275,299
10-day:, 123,145,169,187,209,226,241,257,278,301
20-day:, 170,201,232,254,283,303,323,341,364,381
30-day:, 210,246,280,305,335,357,377,396,419,436
45-day:, 265,310,348,375,408,430,451,470,492,507
60-day:, 321,374,418,450,488,515,539,560,586,603

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,18,20
10-min:, 11,13,16,18,20,22,24,26,29,31
15-min:, 14,17,20,22,25,28,31,33,36,39
30-min:, 19,23,28,32,38,42,47,52,58,63
60-min:, 24,29,36,42,50,57,64,72,83,92
2-hr:, 27,33,41,48,59,68,78,90,106,120
3-hr:, 29,35,44,51,62,72,82,93,110,124
6-hr:, 36,43,52,60,72,83,94,106,124,139
12-hr:, 43,51,62,72,85,97,110,123,143,159
24-hr:, 53,63,77,89,105,118,133,147,168,184
2-day:, 64,76,93,106,125,140,156,172,194,211
3-day:, 70,83,100,114,134,149,165,181,203,221
4-day:, 75,89,108,123,143,159,175,191,213,230
7-day:, 93,110,131,146,166,181,195,209,228,245
10-day:, 109,129,150,165,184,198,211,222,238,254
20-day:, 151,178,206,225,249,266,282,296,313,324
30-day:, 189,221,252,273,299,318,334,349,366,378
45-day:, 241,281,315,340,368,387,404,419,436,447
60-day:, 291,339,380,408,441,464,484,501,520,532

Date/time (GMT):  Thu Feb 29 23:18:43 2024
pyRunTime:  0.03824305534362793
