Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.21290662 Degree
Longitude: -75.33190011 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,21,23,24
10-min:, 15,18,21,23,26,29,31,33,36,38
15-min:, 18,22,26,29,33,36,39,42,45,47
30-min:, 25,31,37,43,49,55,60,65,71,77
60-min:, 32,38,47,55,65,74,82,91,102,112
2-hr:, 39,47,59,70,83,95,107,119,136,150
3-hr:, 43,52,64,77,92,106,120,134,155,173
6-hr:, 52,63,78,93,113,131,150,170,199,226
12-hr:, 62,74,93,112,138,162,188,218,260,300
24-hr:, 73,89,116,139,174,205,240,279,340,393
2-day:, 84,102,133,159,199,234,273,317,384,443
3-day:, 89,108,140,168,209,244,284,328,396,454
4-day:, 94,115,148,176,218,254,295,339,407,465
7-day:, 108,130,165,195,239,276,317,363,430,487
10-day:, 123,148,184,215,258,295,334,377,439,493
20-day:, 162,193,234,267,313,350,388,428,484,528
30-day:, 202,240,286,323,373,412,452,493,549,592
45-day:, 254,299,351,390,442,481,520,558,607,643
60-day:, 304,358,414,456,510,549,587,623,668,701

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,22,23,25,27
10-min:, 16,20,23,26,29,32,34,37,40,43
15-min:, 21,25,29,33,37,40,44,47,50,54
30-min:, 28,34,41,47,55,61,67,73,80,87
60-min:, 35,42,53,61,73,82,92,102,115,127
2-hr:, 44,53,66,78,93,107,120,135,154,172
3-hr:, 48,58,73,86,103,119,135,152,175,197
6-hr:, 59,71,89,105,128,148,170,194,228,260
12-hr:, 70,84,106,127,156,184,214,248,299,346
24-hr:, 80,98,127,152,190,224,261,303,368,425
2-day:, 92,112,146,174,217,255,297,345,417,481
3-day:, 98,119,154,183,227,266,309,357,430,493
4-day:, 103,126,161,192,237,276,320,368,442,506
7-day:, 118,142,180,212,258,298,343,392,464,527
10-day:, 133,160,199,232,278,317,360,405,472,530
20-day:, 174,207,250,284,333,372,413,456,516,564
30-day:, 215,255,303,342,395,437,479,523,584,631
45-day:, 269,317,372,413,468,509,550,590,643,683
60-day:, 320,377,437,481,537,579,619,657,706,742

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,18,21,23,25,27,29,31,33
15-min:, 17,20,23,26,30,32,35,37,39,41
30-min:, 23,27,33,38,44,48,53,57,62,66
60-min:, 28,34,42,50,58,66,73,80,89,97
2-hr:, 35,42,52,62,73,83,93,103,116,127
3-hr:, 38,46,57,68,81,92,104,115,131,145
6-hr:, 46,56,69,82,99,114,129,145,167,187
12-hr:, 55,66,82,98,120,140,161,183,214,243
24-hr:, 67,82,106,127,158,184,214,247,295,337
2-day:, 77,94,122,146,181,211,245,282,336,382
3-day:, 82,100,129,153,190,221,255,292,347,394
4-day:, 87,106,136,161,199,231,265,303,359,405
7-day:, 100,121,153,180,219,252,287,326,381,427
10-day:, 115,138,171,199,238,271,305,342,394,439
20-day:, 153,182,220,250,292,325,359,395,443,480
30-day:, 191,226,269,303,349,385,420,457,505,542
45-day:, 240,283,332,368,416,452,487,521,565,597
60-day:, 289,340,393,432,482,519,553,586,627,655

Date/time (GMT):  Thu Feb 29 23:18:48 2024
pyRunTime:  0.026880502700805664
