Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.5195267 Degree
Longitude: -76.01081402 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,16,17,18,20
10-min:, 12,14,17,18,20,22,23,25,27,28
15-min:, 15,17,20,22,25,27,29,31,34,35
30-min:, 19,23,28,31,36,39,42,45,50,53
60-min:, 24,28,35,40,46,51,56,61,69,75
2-hr:, 27,33,40,47,56,63,71,80,93,105
3-hr:, 30,35,44,50,60,69,78,88,104,117
6-hr:, 37,44,54,63,75,86,97,110,130,147
12-hr:, 46,55,67,78,94,108,123,140,167,190
24-hr:, 55,65,80,93,113,130,149,171,205,235
2-day:, 65,77,95,110,133,153,176,203,243,280
3-day:, 69,82,100,116,139,160,183,210,251,288
4-day:, 72,86,105,121,145,166,190,217,259,296
7-day:, 86,102,122,139,165,187,212,239,282,320
10-day:, 98,116,139,157,184,208,233,262,305,342
20-day:, 135,159,185,206,237,264,292,322,367,405
30-day:, 168,197,225,249,282,310,339,370,415,452
45-day:, 215,250,282,309,345,375,405,437,481,517
60-day:, 260,302,339,369,410,443,477,513,562,601

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,22
10-min:, 13,16,18,20,22,24,26,28,30,32
15-min:, 16,19,22,25,28,30,32,34,37,39
30-min:, 21,26,31,34,39,43,46,50,55,59
60-min:, 26,31,39,44,51,56,62,68,76,83
2-hr:, 30,36,45,52,61,70,79,89,104,117
3-hr:, 33,39,48,56,66,76,86,98,116,131
6-hr:, 41,49,60,70,83,95,107,122,145,164
12-hr:, 51,61,75,86,104,119,136,155,185,212
24-hr:, 60,72,88,102,123,141,161,185,221,253
2-day:, 71,85,105,121,146,167,192,220,264,302
3-day:, 75,90,109,126,151,173,198,226,270,309
4-day:, 79,94,114,131,156,179,204,232,276,315
7-day:, 93,110,132,150,177,200,227,256,301,340
10-day:, 106,126,149,169,198,222,249,279,325,364
20-day:, 144,169,196,219,252,279,309,341,388,428
30-day:, 179,209,239,264,299,328,358,391,439,478
45-day:, 227,264,298,326,364,395,427,460,507,545
60-day:, 273,318,356,388,431,465,501,538,590,632

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,17
10-min:, 11,13,15,17,18,20,21,22,24,25
15-min:, 13,16,18,20,23,24,26,28,29,31
30-min:, 17,21,25,28,32,35,37,40,44,46
60-min:, 21,26,32,36,41,46,50,54,60,65
2-hr:, 25,30,37,42,50,56,63,71,81,90
3-hr:, 27,32,40,46,54,61,69,78,90,100
6-hr:, 34,40,49,57,67,76,86,96,112,124
12-hr:, 42,50,61,71,84,96,108,122,143,160
24-hr:, 50,60,74,85,102,117,133,152,180,204
2-day:, 59,71,87,101,121,138,158,180,213,242
3-day:, 63,76,92,106,127,145,165,188,222,251
4-day:, 67,80,98,112,133,152,173,196,231,261
7-day:, 80,95,114,129,152,172,193,217,253,284
10-day:, 92,109,129,146,171,192,214,239,276,307
20-day:, 128,150,174,194,223,246,272,299,338,370
30-day:, 159,186,213,235,266,292,318,346,385,417
45-day:, 204,237,268,293,327,354,382,410,450,482
60-day:, 247,288,322,351,390,420,451,484,528,563

Date/time (GMT):  Thu Feb 29 23:18:50 2024
pyRunTime:  0.0236051082611084
