Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.91582035 Degree
Longitude: -81.07834059 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,15,16,18,20,22
10-min:, 11,13,16,18,21,24,26,28,32,35
15-min:, 14,17,20,23,27,30,33,36,40,43
30-min:, 19,23,29,34,40,45,50,56,64,70
60-min:, 24,29,37,44,53,61,69,78,91,102
2-hr:, 28,33,43,51,63,74,84,96,114,128
3-hr:, 29,35,46,54,67,77,89,101,120,135
6-hr:, 35,42,53,63,76,88,99,112,130,145
12-hr:, 42,50,63,73,87,98,109,120,138,152
24-hr:, 52,62,77,89,106,119,132,146,164,179
2-day:, 62,74,91,105,124,138,153,168,188,204
3-day:, 66,79,97,111,130,145,161,176,197,212
4-day:, 70,84,103,117,137,153,168,184,205,221
7-day:, 83,98,119,134,155,172,188,204,225,241
10-day:, 96,114,136,153,175,192,209,225,247,263
20-day:, 132,156,183,203,231,252,273,293,320,340
30-day:, 166,194,223,244,271,292,311,330,353,370
45-day:, 210,245,277,300,330,352,372,392,416,433
60-day:, 254,295,331,357,390,414,436,457,483,501

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,19,21,24,26
10-min:, 13,15,18,20,24,27,30,33,38,41
15-min:, 16,19,23,26,30,34,38,41,47,52
30-min:, 22,26,32,38,45,51,57,65,75,84
60-min:, 27,33,41,49,60,69,79,91,108,123
2-hr:, 31,37,48,57,71,83,97,112,135,155
3-hr:, 33,39,51,61,75,87,101,117,142,163
6-hr:, 38,46,59,69,84,98,112,128,152,173
12-hr:, 46,55,68,79,94,107,120,134,157,176
24-hr:, 56,67,83,96,113,127,142,157,177,193
2-day:, 66,79,98,112,132,148,164,180,202,219
3-day:, 70,84,103,118,139,155,171,188,210,228
4-day:, 75,89,109,124,145,162,178,196,218,236
7-day:, 87,104,126,142,164,182,199,216,240,258
10-day:, 101,120,143,161,184,202,220,238,262,280
20-day:, 139,164,192,214,243,265,287,309,339,361
30-day:, 174,204,234,256,284,306,326,346,372,391
45-day:, 219,256,289,314,345,368,390,411,437,455
60-day:, 264,308,345,372,407,432,456,478,506,525

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,12,13,14,15,16,17
10-min:, 10,12,15,16,19,20,22,24,26,27
15-min:, 13,15,18,21,24,26,28,30,33,34
30-min:, 18,21,26,30,35,39,43,47,52,55
60-min:, 22,26,33,39,47,53,59,66,74,81
2-hr:, 25,30,39,46,56,64,72,80,91,100
3-hr:, 27,32,41,49,59,67,76,84,96,105
6-hr:, 32,38,49,57,68,77,86,96,108,117
12-hr:, 39,47,58,67,79,88,97,106,119,128
24-hr:, 48,58,72,83,98,110,122,134,150,162
2-day:, 58,69,85,98,115,128,141,154,172,185
3-day:, 62,74,91,104,122,135,149,162,180,193
4-day:, 66,79,97,110,128,143,156,170,188,202
7-day:, 78,93,112,127,146,161,176,190,208,222
10-day:, 91,108,129,145,165,181,196,211,230,244
20-day:, 126,148,173,193,219,238,257,275,298,315
30-day:, 158,186,213,233,258,277,295,311,333,348
45-day:, 201,235,265,288,316,336,355,373,395,410
60-day:, 244,284,317,343,374,396,417,436,459,475

Date/time (GMT):  Thu Feb 29 23:18:54 2024
pyRunTime:  0.009504318237304688
