Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.63525838 Degree
Longitude: -77.10336885 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,14,16,19,21,24,28,31
10-min:, 10,12,16,19,23,26,30,34,39,44
15-min:, 12,15,19,23,27,31,35,40,46,52
30-min:, 16,20,26,30,37,42,47,53,62,70
60-min:, 21,25,32,38,47,53,60,67,78,88
2-hr:, 26,31,39,46,56,63,71,81,96,110
3-hr:, 29,35,44,52,62,70,78,90,107,123
6-hr:, 35,42,53,62,74,84,94,107,127,145
12-hr:, 43,51,64,75,90,101,113,127,149,167
24-hr:, 50,60,76,89,107,120,135,151,175,196
2-day:, 58,69,88,104,125,141,159,179,209,234
3-day:, 63,76,97,114,137,155,173,195,228,256
4-day:, 68,82,103,121,146,164,184,207,242,271
7-day:, 81,96,119,139,166,186,207,232,268,299
10-day:, 93,109,133,154,182,203,226,251,289,319
20-day:, 131,148,176,199,231,255,280,307,343,372
30-day:, 162,181,211,236,270,297,323,350,385,412
45-day:, 201,221,254,281,318,347,375,401,435,458
60-day:, 235,256,290,318,357,388,417,443,474,495

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,17,22,25,29,34,41,46
10-min:, 13,16,20,24,31,35,41,48,57,66
15-min:, 15,18,24,28,36,42,49,56,68,77
30-min:, 20,25,32,38,49,56,66,76,91,104
60-min:, 26,31,40,48,61,71,83,95,115,131
2-hr:, 32,38,49,58,73,85,99,114,140,162
3-hr:, 36,43,54,64,81,93,110,125,155,181
6-hr:, 43,51,65,76,96,111,130,148,182,212
12-hr:, 52,62,78,91,115,132,153,175,211,242
24-hr:, 61,72,92,108,136,156,181,206,247,281
2-day:, 69,83,106,125,158,182,212,242,291,332
3-day:, 76,91,116,137,172,198,230,263,317,362
4-day:, 81,97,123,145,183,210,244,278,335,382
7-day:, 96,113,141,165,206,235,272,309,369,418
10-day:, 110,128,158,183,225,256,294,333,394,444
20-day:, 153,173,206,235,282,317,359,403,465,514
30-day:, 189,211,246,277,327,366,409,457,519,566
45-day:, 234,257,296,329,383,424,470,521,582,626
60-day:, 272,296,336,371,428,471,518,572,632,673

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,14,15,16,18,20
10-min:, 8,10,13,15,18,19,21,23,25,28
15-min:, 9,12,15,17,21,23,25,27,30,33
30-min:, 13,16,20,24,28,31,34,36,40,44
60-min:, 16,20,25,30,35,39,43,45,51,56
2-hr:, 20,24,31,36,42,47,52,55,63,70
3-hr:, 23,27,35,40,47,52,57,61,70,78
6-hr:, 28,33,42,49,57,63,69,72,83,93
12-hr:, 34,41,51,59,69,76,82,87,98,107
24-hr:, 40,48,61,71,82,91,98,104,116,126
2-day:, 47,56,71,83,97,107,117,123,138,151
3-day:, 52,62,78,91,107,118,128,135,151,165
4-day:, 56,67,84,98,114,125,136,144,161,175
7-day:, 67,78,97,112,130,142,153,161,179,194
10-day:, 77,89,109,125,143,156,167,175,192,207
20-day:, 108,122,145,163,182,196,207,215,230,242
30-day:, 135,150,174,194,213,228,239,246,259,269
45-day:, 168,185,211,232,252,267,277,283,293,300
60-day:, 197,214,241,263,283,299,307,313,321,324

Date/time (GMT):  Thu Feb 29 23:18:56 2024
pyRunTime:  0.04434657096862793
