Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.24375622 Degree
Longitude: -76.54413045 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,26
10-min:, 17,20,22,25,29,31,34,36,39,42
15-min:, 21,25,28,32,36,40,43,46,49,52
30-min:, 28,34,40,47,54,60,65,71,78,85
60-min:, 35,43,52,61,72,81,90,100,112,124
2-hr:, 42,51,63,75,90,104,117,131,151,169
3-hr:, 45,54,68,81,98,114,130,147,172,194
6-hr:, 55,66,82,98,119,139,159,182,214,243
12-hr:, 65,78,97,117,144,170,196,226,269,309
24-hr:, 74,90,117,140,174,203,236,272,327,374
2-day:, 86,105,135,161,201,235,273,315,380,436
3-day:, 91,111,142,169,208,243,280,322,386,442
4-day:, 96,117,149,176,216,250,288,329,392,448
7-day:, 113,136,171,201,244,280,319,362,424,476
10-day:, 129,154,192,223,267,304,343,386,447,498
20-day:, 174,208,252,288,339,380,423,468,531,582
30-day:, 215,256,306,347,402,446,490,536,598,647
45-day:, 269,318,376,424,488,539,590,643,716,772
60-day:, 320,378,442,493,560,611,662,713,780,832

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,20,22,24,25,28,30
10-min:, 18,22,25,28,32,35,37,40,44,46
15-min:, 23,27,32,36,40,44,47,51,55,58
30-min:, 32,38,45,52,60,66,73,79,87,94
60-min:, 39,47,57,67,79,90,100,111,125,138
2-hr:, 47,56,70,83,99,114,129,145,167,187
3-hr:, 51,61,76,90,109,126,144,163,190,215
6-hr:, 62,74,92,110,134,155,178,203,239,271
12-hr:, 75,89,112,135,165,194,224,257,307,352
24-hr:, 83,100,130,155,193,225,261,301,362,415
2-day:, 97,117,151,180,224,261,304,352,424,488
3-day:, 102,124,159,188,232,269,311,358,430,493
4-day:, 107,130,166,196,240,277,318,364,435,499
7-day:, 124,149,188,220,267,307,350,397,466,526
10-day:, 140,169,209,242,291,331,374,421,489,547
20-day:, 188,224,272,311,365,410,457,507,577,635
30-day:, 231,275,329,372,431,478,527,576,646,700
45-day:, 287,339,402,452,520,575,630,688,768,832
60-day:, 341,402,471,524,595,650,705,761,835,893

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 15,18,20,23,26,28,30,32,34,36
15-min:, 19,22,26,29,33,36,38,40,43,46
30-min:, 26,31,37,42,48,53,58,63,69,74
60-min:, 32,39,47,55,64,72,80,88,99,108
2-hr:, 38,46,57,68,81,92,104,116,132,146
3-hr:, 41,49,61,73,88,101,114,129,148,166
6-hr:, 49,59,73,87,106,122,139,158,183,205
12-hr:, 57,69,86,103,126,147,168,192,224,254
24-hr:, 68,83,107,127,156,182,209,239,282,318
2-day:, 78,95,123,146,180,209,240,275,326,368
3-day:, 83,101,129,153,187,216,247,282,332,375
4-day:, 88,106,135,160,195,224,255,289,339,382
7-day:, 103,125,157,183,221,252,285,320,371,411
10-day:, 119,142,176,204,244,276,309,345,395,435
20-day:, 162,193,234,267,312,349,386,424,477,517
30-day:, 202,239,286,323,374,413,453,492,545,585
45-day:, 252,298,353,396,455,500,546,591,652,698
60-day:, 302,356,417,463,525,572,617,661,719,761

Date/time (GMT):  Thu Feb 29 23:19:00 2024
pyRunTime:  0.007692575454711914
