,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.31,1.29,1.29,1.31,1.35,1.43
1,Adams,County,PA,1.34,1.36,1.4,1.44,1.5,1.59
2,Albemarle,County,VA,1.33,1.36,1.39,1.42,1.48,1.54
3,Alexandria,City,VA,1.25,1.28,1.31,1.39,1.47,1.57
4,Allegany,County,MD,1.28,1.32,1.36,1.42,1.46,1.51
5,Allegany,County,NY,1.3,1.31,1.32,1.33,1.37,1.39
6,Alleghany,County,VA,1.31,1.35,1.38,1.44,1.51,1.62
7,Allegheny,County,PA,1.27,1.29,1.31,1.36,1.42,1.48
8,Amelia,County,VA,1.32,1.36,1.39,1.48,1.54,1.64
9,Amherst,County,VA,1.36,1.37,1.4,1.42,1.42,1.46
10,Anne Arundel,County,MD,1.26,1.29,1.32,1.36,1.41,1.46
11,Appomattox,County,VA,1.38,1.41,1.4,1.43,1.51,1.57
12,Arlington,County,VA,1.24,1.27,1.29,1.33,1.39,1.47
13,Armstrong,County,PA,1.27,1.32,1.36,1.4,1.48,1.58
14,Atlantic,County,NJ,1.3,1.35,1.39,1.44,1.47,1.52
15,Augusta,County,VA,1.33,1.37,1.36,1.37,1.36,1.38
16,Baltimore,County,MD,1.26,1.29,1.31,1.37,1.47,1.58
17,Baltimore,County,MD,1.27,1.31,1.33,1.38,1.43,1.51
18,Barbour,County,WV,1.25,1.28,1.3,1.34,1.38,1.45
19,Bath,County,VA,1.34,1.41,1.43,1.48,1.54,1.59
20,Beaver,County,PA,1.27,1.28,1.28,1.31,1.38,1.47
21,Bedford,County,PA,1.28,1.3,1.34,1.39,1.44,1.5
22,Bedford,County,VA,1.31,1.34,1.35,1.38,1.4,1.47
23,Berkeley,County,WV,1.31,1.31,1.34,1.37,1.44,1.49
24,Berks,County,PA,1.29,1.34,1.36,1.43,1.46,1.54
25,Blair,County,PA,1.28,1.31,1.34,1.37,1.42,1.46
26,Bland,County,VA,1.29,1.31,1.29,1.29,1.3,1.32
27,Boone,County,WV,1.26,1.26,1.27,1.31,1.33,1.38
28,Botetourt,County,VA,1.33,1.38,1.39,1.41,1.44,1.5
29,Bradford,County,PA,1.23,1.26,1.29,1.38,1.49,1.65
30,Braxton,County,WV,1.25,1.26,1.27,1.29,1.32,1.34
31,Bristol,City,VA,1.29,1.31,1.32,1.32,1.35,1.44
32,Bronx,County,NY,1.33,1.35,1.34,1.33,1.34,1.35
33,Brooke,County,WV,1.31,1.36,1.38,1.39,1.46,1.47
34,Broome,County,NY,1.26,1.26,1.27,1.31,1.35,1.38
35,Brunswick,County,VA,1.28,1.3,1.33,1.37,1.4,1.43
36,Buchanan,County,VA,1.3,1.29,1.29,1.3,1.31,1.33
37,Buckingham,County,VA,1.33,1.37,1.38,1.41,1.46,1.51
38,Bucks,County,PA,1.26,1.27,1.29,1.34,1.4,1.46
39,Buena Vista,City,VA,1.43,1.49,1.5,1.47,1.45,1.44
40,Burlington,County,NJ,1.24,1.26,1.28,1.29,1.32,1.4
41,Butler,County,PA,1.27,1.29,1.3,1.32,1.35,1.42
42,Cabell,County,WV,1.28,1.3,1.34,1.39,1.44,1.51
43,Calhoun,County,WV,1.32,1.36,1.4,1.44,1.46,1.51
44,Calvert,County,MD,1.28,1.32,1.32,1.36,1.39,1.47
45,Cambria,County,PA,1.24,1.27,1.3,1.37,1.41,1.49
46,Camden,County,NJ,1.25,1.26,1.29,1.34,1.4,1.48
47,Cameron,County,PA,1.29,1.3,1.32,1.34,1.37,1.42
48,Campbell,County,VA,1.34,1.33,1.33,1.35,1.39,1.42
49,Cape May,County,NJ,1.31,1.35,1.36,1.38,1.44,1.5
50,Carbon,County,PA,1.27,1.29,1.31,1.37,1.43,1.49
51,Caroline,County,MD,1.32,1.31,1.35,1.38,1.46,1.5
52,Caroline,County,VA,1.27,1.32,1.35,1.43,1.47,1.55
53,Carroll,County,MD,1.34,1.32,1.37,1.46,1.5,1.6
