,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.37,1.51,1.65,2.04,2.45,3.27
1,Adams,County,PA,1.49,1.66,1.77,2.41,2.92,2.88
2,Albemarle,County,VA,1.55,1.65,1.72,1.9,2.44,2.56
3,Alexandria,City,VA,1.38,1.49,1.6,1.85,2.31,2.72
4,Allegany,County,MD,1.47,1.45,1.66,2.09,2.53,3.39
5,Allegany,County,NY,1.57,1.61,1.62,1.8,2.35,2.5
6,Alleghany,County,VA,1.44,1.61,1.78,2.13,2.48,2.92
7,Allegheny,County,PA,1.3,1.38,1.5,1.69,2.1,2.34
8,Amelia,County,VA,1.38,1.59,1.92,2.51,3.07,4.26
9,Amherst,County,VA,1.44,1.51,1.57,1.77,2.33,2.88
10,Anne Arundel,County,MD,1.4,1.46,1.48,1.79,2.11,2.85
11,Appomattox,County,VA,1.47,1.53,1.59,1.77,2.28,3.87
12,Arlington,County,VA,1.38,1.48,1.62,1.84,2.11,3.1
13,Armstrong,County,PA,1.35,1.44,1.49,1.74,2.13,2.86
14,Atlantic,County,NJ,1.38,1.44,1.55,1.9,2.31,3.43
15,Augusta,County,VA,1.48,1.5,1.5,1.52,1.82,1.93
16,Baltimore,County,MD,1.43,1.52,1.69,2.16,2.7,3.14
17,Baltimore,County,MD,1.42,1.52,1.72,2.16,2.86,3.37
18,Barbour,County,WV,1.41,1.38,1.48,1.81,2.2,2.42
19,Bath,County,VA,1.46,1.58,1.68,1.87,2.21,2.71
20,Beaver,County,PA,1.35,1.36,1.48,1.8,2.27,2.8
21,Bedford,County,PA,1.41,1.42,1.63,2.01,2.41,2.87
22,Bedford,County,VA,1.43,1.47,1.55,1.71,1.9,2.18
23,Berkeley,County,WV,1.45,1.45,1.55,1.78,2.18,2.44
24,Berks,County,PA,1.39,1.5,1.7,2.06,2.34,2.42
25,Blair,County,PA,1.43,1.44,1.57,1.97,2.4,3.08
26,Bland,County,VA,1.4,1.42,1.44,1.48,1.66,1.95
27,Boone,County,WV,1.33,1.36,1.44,1.58,1.8,2.07
28,Botetourt,County,VA,1.5,1.56,1.73,2.02,2.31,2.53
29,Bradford,County,PA,1.36,1.42,1.57,1.99,2.45,3.35
30,Braxton,County,WV,1.34,1.35,1.43,1.62,1.91,2.34
31,Bristol,City,VA,1.44,1.5,1.55,1.75,1.96,2.09
32,Bronx,County,NY,1.45,1.53,1.59,1.62,1.75,2.04
33,Brooke,County,WV,1.43,1.6,1.72,1.86,2.08,2.69
34,Broome,County,NY,1.43,1.43,1.6,1.93,2.31,3.43
35,Brunswick,County,VA,1.34,1.36,1.44,1.65,1.93,2.71
36,Buchanan,County,VA,1.36,1.36,1.35,1.48,1.65,1.87
37,Buckingham,County,VA,1.45,1.59,1.66,2.1,2.85,2.51
38,Bucks,County,PA,1.34,1.4,1.42,1.64,1.92,2.48
39,Buena Vista,City,VA,1.53,1.63,1.7,1.84,2.3,3.06
40,Burlington,County,NJ,1.3,1.39,1.48,1.8,2.19,2.07
41,Butler,County,PA,1.34,1.39,1.43,1.6,1.85,2.76
42,Cabell,County,WV,1.41,1.44,1.57,2.08,2.64,2.34
43,Calhoun,County,WV,1.49,1.5,1.52,1.76,2.23,2.76
44,Calvert,County,MD,1.35,1.4,1.48,1.71,2.02,2.94
45,Cambria,County,PA,1.44,1.47,1.5,1.98,2.56,3.62
46,Camden,County,NJ,1.35,1.44,1.62,1.94,2.27,2.29
47,Cameron,County,PA,1.35,1.41,1.47,1.6,1.74,1.95
48,Campbell,County,VA,1.42,1.42,1.53,1.79,2.15,2.93
49,Cape May,County,NJ,1.43,1.53,1.58,1.73,1.98,2.5
50,Carbon,County,PA,1.36,1.38,1.49,1.79,2.04,2.48
51,Caroline,County,MD,1.41,1.49,1.54,1.87,2.26,2.95
52,Caroline,County,VA,1.46,1.54,1.71,2.11,2.44,2.47
53,Carroll,County,MD,1.43,1.54,1.71,2.02,2.34,2.88
54,Carroll,County,VA,1.37,1.38,1.47,1.86,2.33,2.38
55,Cecil,County,MD,1.41,1.54,1.63,1.81,1.99,2.5
56,Centre,County,PA,1.4,1.46,1.52,1.77,2.05,2.37
57,Charles,County,MD,1.36,1.45,1.63,2.01,2.45,3.78
58,Charles City,County,VA,1.38,1.39,1.43,1.9,2.53,2.63
59,Charlotte,County,VA,1.42,1.42,1.46,1.85,2.32,2.66
60,Charlottesville,City,VA,1.53,1.68,1.86,2.19,2.57,2.89
61,Chemung,County,NY,1.49,1.58,1.66,1.8,2.03,2.44
62,Chenango,County,NY,1.34,1.35,1.47,1.64,1.87,2.58
63,Chesapeake,City,VA,1.45,1.53,1.57,2.25,3.08,2.53
64,Chester,County,PA,1.44,1.54,1.64,1.8,1.92,2.25
65,Chesterfield,County,VA,1.36,1.44,1.52,1.7,1.91,2.12
66,Clarion,County,PA,1.36,1.42,1.51,1.66,1.95,2.3
67,Clarke,County,VA,1.49,1.47,1.64,1.96,2.26,2.71
68,Clay,County,WV,1.3,1.36,1.44,1.85,2.55,3.44
69,Clearfield,County,PA,1.39,1.42,1.45,1.68,1.97,2.28
70,Clinton,County,PA,1.35,1.43,1.51,1.83,2.2,2.69
71,Colonial Heights,City,VA,1.4,1.46,1.52,1.87,2.56,2.75
72,Columbia,County,PA,1.39,1.55,1.7,1.99,2.29,3.03
73,Cortland,County,NY,1.44,1.46,1.48,1.73,1.99,2.49
74,Covington,City,VA,1.51,1.54,1.76,2.15,2.78,4.05
75,Craig,County,VA,1.43,1.48,1.5,1.63,1.92,2.09
76,Crawford,County,PA,1.39,1.45,1.45,1.61,1.79,2.12
77,Culpeper,County,VA,1.4,1.4,1.45,1.58,1.76,2.29
78,Cumberland,County,NJ,1.47,1.62,1.74,1.93,2.5,2.79
79,Cumberland,County,PA,1.51,1.66,1.85,2.16,2.45,2.86
80,Cumberland,County,VA,1.4,1.53,1.65,1.88,2.29,2.39
81,Danville,City,VA,1.44,1.44,1.63,2.05,2.52,3.33
82,Dauphin,County,PA,1.44,1.61,1.78,2.06,2.34,2.76
83,Delaware,County,NY,1.35,1.48,1.62,1.84,2.08,2.36
84,Delaware,County,PA,1.49,1.57,1.56,1.64,1.96,2.31
85,Dickenson,County,VA,1.33,1.37,1.4,1.6,1.86,2.31
86,Dinwiddie,County,VA,1.36,1.41,1.42,1.45,1.61,2.02
87,District of Columbia,County,DC,1.38,1.47,1.58,1.72,1.82,2.24
88,Doddridge,County,WV,1.47,1.38,1.41,1.53,1.73,2.12
89,Dorchester,County,MD,1.39,1.44,1.46,1.65,2.01,2.34
90,Elk,County,PA,1.42,1.47,1.5,1.64,1.77,2.27
91,Emporia,City,VA,1.34,1.42,1.92,3.05,4.26,2.85
92,Erie,County,PA,1.38,1.43,1.48,1.62,1.73,1.96
93,Essex,County,VA,1.4,1.5,1.53,1.61,1.8,2.06
94,Fairfax,County,VA,1.39,1.45,1.65,2.04,2.45,3.03
95,Fairfax,City,VA,1.38,1.4,1.61,2.0,2.38,2.72
96,Falls Church,City,VA,1.38,1.47,1.61,1.95,2.37,3.83
97,Fauquier,County,VA,1.4,1.45,1.51,1.66,1.79,6.32
98,Fayette,County,PA,1.36,1.39,1.48,1.73,2.11,2.4
99,Fayette,County,WV,1.41,1.42,1.45,1.57,1.77,1.9
100,Floyd,County,VA,1.44,1.44,1.44,1.74,2.25,2.9
101,Fluvanna,County,VA,1.58,1.79,1.97,2.33,2.83,3.33
102,Forest,County,PA,1.41,1.45,1.52,1.75,2.05,2.29
103,Franklin,County,PA,1.39,1.47,1.65,2.02,2.42,2.76
104,Franklin,County,VA,1.42,1.51,1.57,1.68,2.2,2.87
105,Franklin,City,VA,1.5,1.59,1.6,2.15,2.91,2.85
106,Frederick,County,MD,1.44,1.53,1.65,1.9,2.23,2.94
107,Frederick,County,VA,1.5,1.48,1.59,1.78,1.93,2.67
108,Fredericksburg,City,VA,1.39,1.47,1.84,2.68,3.71,2.89
109,Fulton,County,PA,1.39,1.49,1.61,1.92,2.48,3.21
110,Galax,City,VA,1.39,1.44,1.53,1.88,2.36,2.69
111,Garrett,County,MD,1.45,1.44,1.48,1.7,2.08,2.7
112,Giles,County,VA,1.4,1.4,1.43,1.55,1.7,1.97
113,Gilmer,County,WV,1.36,1.43,1.52,1.64,1.82,2.13
114,Gloucester,County,NJ,1.37,1.47,1.6,1.69,1.97,2.36
115,Gloucester,County,VA,1.38,1.44,1.54,1.83,2.15,2.18
116,Goochland,County,VA,1.54,1.75,1.9,2.07,2.3,3.02
117,Grant,County,WV,1.43,1.4,1.5,1.78,2.09,2.68
118,Grayson,County,VA,1.36,1.39,1.46,1.65,2.02,2.06
119,Greenbrier,County,WV,1.4,1.45,1.59,1.81,2.04,2.43
120,Greene,County,NY,1.43,1.49,1.61,1.92,2.39,4.96
121,Greene,County,PA,1.39,1.39,1.54,1.94,2.53,2.6
122,Greene,County,VA,1.42,1.52,1.59,1.71,1.88,2.8
123,Greensville,County,VA,1.35,1.39,1.48,1.66,2.03,2.79
124,Halifax,County,VA,1.42,1.49,1.59,2.03,2.63,2.34
125,Hampshire,County,WV,1.49,1.55,1.72,2.23,2.81,3.76
126,Hampton,City,VA,1.36,1.52,1.67,1.88,2.17,2.79
127,Hancock,County,WV,1.39,1.44,1.46,1.62,1.99,2.11
128,Hanover,County,VA,1.44,1.55,1.63,1.78,2.09,2.49
129,Hardy,County,WV,1.47,1.57,1.68,1.95,2.28,2.89
130,Harford,County,MD,1.43,1.67,1.85,2.15,2.55,3.42
131,Harrison,County,WV,1.47,1.47,1.6,2.12,2.7,1.96
132,Harrisonburg,City,VA,1.37,1.49,1.72,2.11,2.45,2.74
133,Henrico,County,VA,1.35,1.49,1.65,1.91,2.15,2.25
134,Henry,County,VA,1.41,1.52,1.62,1.82,2.38,3.78
135,Herkimer,County,NY,1.3,1.35,1.42,1.64,1.89,2.2
136,Highland,County,VA,1.42,1.42,1.6,2.11,2.7,3.78
137,Hopewell,City,VA,1.4,1.4,1.43,1.87,2.56,2.75
138,Howard,County,MD,1.44,1.51,1.66,2.07,2.65,3.78
139,Hunterdon,County,NJ,1.38,1.51,1.64,1.94,2.27,2.25
140,Huntingdon,County,PA,1.4,1.42,1.61,2.02,2.5,3.18
141,Indiana,County,PA,1.42,1.51,1.57,2.04,2.62,3.55
142,Isle of Wight,County,VA,1.48,1.56,1.57,1.99,2.64,2.59
143,Jackson,County,WV,1.38,1.5,1.58,2.0,2.6,2.41
144,James City,County,VA,1.41,1.47,1.49,1.94,2.49,2.39
145,Jefferson,County,PA,1.32,1.39,1.49,1.6,1.86,2.5
146,Jefferson,County,WV,1.48,1.45,1.69,2.34,3.09,2.83
147,Juniata,County,PA,1.41,1.48,1.61,1.85,2.1,2.56
148,Kanawha,County,WV,1.33,1.39,1.48,1.59,1.75,1.99
149,Kent,County,DE,1.37,1.42,1.44,1.65,1.92,2.18
150,Kent,County,MD,1.35,1.38,1.46,1.72,1.97,2.27
151,King George,County,VA,1.43,1.5,1.55,2.01,2.47,3.14
152,King William,County,VA,1.41,1.51,1.58,1.63,1.81,2.28
153,King and Queen,County,VA,1.43,1.54,1.61,1.63,1.73,2.01
154,Lackawanna,County,PA,1.36,1.52,1.73,2.23,2.81,3.71
155,Lancaster,County,PA,1.44,1.59,1.86,2.4,2.98,3.62
156,Lancaster,County,VA,1.39,1.46,1.52,1.85,2.26,2.71
157,Lawrence,County,PA,1.35,1.43,1.62,2.13,2.63,3.19
158,Lebanon,County,PA,1.4,1.49,1.63,2.13,2.62,2.84
159,Lee,County,VA,1.47,1.63,1.77,1.97,2.17,2.69
160,Lehigh,County,PA,1.49,1.52,1.52,1.81,2.06,2.27
161,Lewis,County,WV,1.38,1.37,1.47,1.74,2.06,2.17
162,Lexington,City,VA,1.47,1.54,1.54,1.67,2.3,3.06
163,Lincoln,County,WV,1.41,1.44,1.51,1.83,2.26,2.19
164,Livingston,County,NY,1.49,1.55,1.59,1.77,2.38,3.53
165,Logan,County,WV,1.36,1.38,1.46,1.71,2.03,2.56
166,Loudoun,County,VA,1.45,1.53,1.7,2.13,2.71,2.62
167,Louisa,County,VA,1.55,1.7,1.83,2.17,2.61,3.25
168,Lunenburg,County,VA,1.38,1.41,1.51,1.69,2.08,2.69
169,Luzerne,County,PA,1.35,1.43,1.53,1.73,1.97,2.67
170,Lycoming,County,PA,1.29,1.41,1.58,1.98,2.42,2.89
171,Lynchburg,City,VA,1.38,1.41,1.55,2.12,2.83,3.22
172,Madison,County,NY,1.33,1.41,1.54,1.73,1.92,2.17
173,Madison,County,VA,1.45,1.62,1.76,2.05,2.32,2.77
174,Manassas,City,VA,1.38,1.6,2.05,3.03,4.24,5.46
175,Manassas Park,City,VA,1.38,1.6,2.12,3.18,4.4,4.64
176,Marion,County,WV,1.42,1.44,1.55,2.06,2.69,2.18
177,Marshall,County,WV,1.36,1.4,1.55,2.0,2.52,2.98
178,Martinsville,City,VA,1.52,1.62,1.65,2.04,2.54,3.99
179,Mason,County,WV,1.38,1.48,1.52,2.06,2.78,3.53
180,Mathews,County,VA,1.37,1.51,1.64,1.84,2.09,2.64
181,McDowell,County,WV,1.42,1.44,1.43,1.43,1.58,1.76
182,McKean,County,PA,1.4,1.47,1.51,1.7,2.04,2.07
183,Mecklenburg,County,VA,1.36,1.38,1.39,1.61,1.87,2.24
184,Mercer,County,NJ,1.29,1.32,1.43,1.85,2.32,2.78
185,Mercer,County,PA,1.5,1.59,1.78,2.49,3.32,3.06
186,Mercer,County,WV,1.42,1.52,1.6,1.73,1.87,2.13
187,Middlesex,County,VA,1.43,1.53,1.57,1.69,1.96,2.21
188,Mifflin,County,PA,1.45,1.47,1.64,2.02,2.45,3.15
189,Mineral,County,WV,1.46,1.45,1.64,2.21,2.89,3.88
190,Mingo,County,WV,1.42,1.48,1.49,1.68,2.07,2.42
191,Monmouth,County,NJ,1.38,1.45,1.48,1.79,2.11,2.22
192,Monongalia,County,WV,1.36,1.35,1.54,1.95,2.55,2.78
193,Monroe,County,PA,1.4,1.56,1.82,2.39,3.06,12.99
194,Monroe,County,WV,1.4,1.46,1.54,1.61,1.78,2.41
195,Montgomery,County,MD,1.48,1.47,1.57,1.9,2.29,4.61
196,Montgomery,County,NY,1.39,1.57,1.71,1.91,2.14,2.63
197,Montgomery,County,PA,1.42,1.43,1.47,1.58,1.84,2.65
198,Montgomery,County,VA,1.43,1.48,1.52,1.72,1.88,1.98
199,Montour,County,PA,1.36,1.56,1.82,2.33,2.81,3.09
200,Morgan,County,WV,1.41,1.54,1.63,1.97,2.58,3.45
201,Morris,County,NJ,1.42,1.55,1.64,1.82,2.02,2.47
202,Nassau,County,NY,1.37,1.4,1.65,2.3,3.2,3.88
203,Nelson,County,VA,1.49,1.64,1.7,2.52,3.6,2.6
204,New Castle,County,DE,1.46,1.54,1.56,1.58,1.75,1.81
205,New Kent,County,VA,1.39,1.43,1.5,1.67,2.03,1.99
