,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.06,1.06,1.04,0.98,0.93,0.88
1,Adams,County,PA,1.07,1.06,1.05,1.02,0.99,0.85
2,Albemarle,County,VA,0.97,0.94,0.94,0.97,1.0,0.92
3,Alexandria,City,VA,1.03,0.96,0.91,0.84,0.8,0.8
4,Allegany,County,MD,1.03,1.0,1.0,1.0,1.01,0.97
5,Allegany,County,NY,0.96,0.96,0.98,0.99,1.0,0.87
6,Alleghany,County,VA,1.05,1.03,0.99,0.92,0.85,0.98
7,Allegheny,County,PA,1.02,1.0,1.0,1.02,1.0,0.94
8,Amelia,County,VA,1.02,1.04,1.04,0.99,0.96,0.85
9,Amherst,County,VA,1.04,1.03,1.03,1.01,1.0,0.92
10,Anne Arundel,County,MD,1.01,0.98,0.96,0.94,0.94,0.89
11,Appomattox,County,VA,1.07,1.05,1.03,0.99,0.96,0.93
12,Arlington,County,VA,1.03,0.96,0.91,0.84,0.8,0.88
13,Armstrong,County,PA,1.04,1.01,0.99,0.99,0.95,0.91
14,Atlantic,County,NJ,1.07,1.07,1.06,1.05,1.02,0.86
15,Augusta,County,VA,1.0,0.96,0.96,0.96,0.95,0.88
16,Baltimore,County,MD,0.98,0.97,0.97,0.98,0.99,0.92
17,Baltimore,County,MD,1.01,0.98,0.98,0.98,0.98,0.81
18,Barbour,County,WV,1.05,1.03,1.0,0.94,0.88,0.95
19,Bath,County,VA,1.03,1.01,1.0,0.97,0.91,0.99
20,Beaver,County,PA,1.04,1.01,0.99,0.97,0.94,0.88
21,Bedford,County,PA,1.05,1.02,1.02,1.03,1.04,0.98
22,Bedford,County,VA,1.08,1.05,1.04,1.04,1.04,0.97
23,Berkeley,County,WV,1.09,1.08,1.07,1.05,1.03,0.91
24,Berks,County,PA,1.01,0.97,0.95,0.94,0.94,0.93
25,Blair,County,PA,1.09,1.07,1.06,1.06,1.08,1.01
26,Bland,County,VA,1.1,1.11,1.12,1.14,1.16,0.97
27,Boone,County,WV,1.08,1.09,1.06,0.99,0.93,0.95
28,Botetourt,County,VA,1.08,1.06,1.03,0.98,0.93,0.96
29,Bradford,County,PA,1.05,1.08,1.07,1.02,0.98,0.92
30,Braxton,County,WV,1.06,1.04,1.02,0.99,0.97,0.92
31,Bristol,City,VA,1.1,1.07,1.03,0.95,0.86,0.93
32,Bronx,County,NY,0.99,0.98,0.97,0.96,0.94,0.78
33,Brooke,County,WV,1.03,1.04,1.06,1.03,0.99,0.93
34,Broome,County,NY,1.04,1.07,1.1,1.1,1.1,0.99
35,Brunswick,County,VA,1.09,1.07,1.03,0.99,0.94,0.94
36,Buchanan,County,VA,1.09,1.08,1.06,1.03,0.99,0.95
37,Buckingham,County,VA,1.01,0.98,0.99,1.02,1.02,0.92
38,Bucks,County,PA,1.02,1.05,1.05,1.01,0.96,0.92
39,Buena Vista,City,VA,1.04,1.02,1.02,1.0,0.98,0.88
40,Burlington,County,NJ,1.06,1.08,1.08,1.06,1.02,0.92
41,Butler,County,PA,1.02,1.01,1.02,1.01,0.98,0.94
42,Cabell,County,WV,1.08,1.08,1.07,1.04,1.01,0.97
43,Calhoun,County,WV,1.09,1.11,1.1,1.07,1.03,0.92
44,Calvert,County,MD,1.02,0.98,0.95,0.92,0.9,0.83
45,Cambria,County,PA,1.04,1.01,1.0,0.99,0.98,0.98
46,Camden,County,NJ,1.04,1.05,1.04,1.02,0.98,0.93
47,Cameron,County,PA,1.01,0.99,1.0,1.03,1.03,0.96
48,Campbell,County,VA,1.06,1.04,1.04,1.03,1.03,0.99
49,Cape May,County,NJ,1.04,1.04,1.05,1.02,0.97,0.94
50,Carbon,County,PA,1.04,1.05,1.06,1.07,1.08,1.0
51,Caroline,County,MD,1.03,1.02,1.02,0.97,0.91,0.81
52,Caroline,County,VA,0.99,0.98,0.99,1.0,1.01,0.87
53,Carroll,County,MD,1.01,0.99,0.98,0.98,0.98,0.92
54,Carroll,County,VA,1.05,1.04,1.03,1.03,1.03,0.99
55,Cecil,County,MD,0.99,0.97,0.96,0.96,0.95,0.86
56,Centre,County,PA,1.1,1.08,1.07,1.06,1.05,1.0
57,Charles,County,MD,1.01,0.96,0.93,0.89,0.86,0.85
58,Charles City,County,VA,1.07,1.03,1.0,0.95,0.91,0.85
59,Charlotte,County,VA,1.08,1.05,1.03,0.98,0.95,0.96
60,Charlottesville,City,VA,0.95,0.92,0.92,0.95,0.99,0.94
61,Chemung,County,NY,0.99,1.02,1.05,1.01,0.97,0.98
62,Chenango,County,NY,1.06,1.08,1.08,1.06,1.05,1.0
63,Chesapeake,City,VA,1.05,1.0,0.95,0.86,0.81,0.92
64,Chester,County,PA,1.0,0.96,0.94,0.92,0.91,0.91
65,Chesterfield,County,VA,1.03,1.05,1.02,0.98,0.95,0.92
66,Clarion,County,PA,0.99,0.98,0.98,0.99,0.99,1.0
67,Clarke,County,VA,1.06,1.04,1.01,0.96,0.92,0.87
68,Clay,County,WV,1.08,1.08,1.04,0.99,0.94,0.94
69,Clearfield,County,PA,1.05,1.03,1.03,1.03,1.04,1.02
70,Clinton,County,PA,1.07,1.07,1.08,1.03,0.98,0.95
71,Colonial Heights,City,VA,1.07,1.03,0.99,0.93,0.88,0.88
72,Columbia,County,PA,1.08,1.08,1.09,1.09,1.07,1.0
73,Cortland,County,NY,1.01,1.04,1.05,1.03,1.01,0.95
74,Covington,City,VA,1.06,1.05,1.02,0.95,0.88,0.93
75,Craig,County,VA,1.08,1.05,1.01,0.96,0.91,0.95
76,Crawford,County,PA,0.97,0.96,0.97,1.0,1.02,0.98
77,Culpeper,County,VA,0.97,0.92,0.91,0.91,0.92,0.92
78,Cumberland,County,NJ,1.05,1.03,1.01,0.98,0.94,0.85
79,Cumberland,County,PA,1.08,1.11,1.12,1.11,1.08,0.94
80,Cumberland,County,VA,1.01,1.0,1.01,1.01,0.99,0.91
81,Danville,City,VA,1.09,1.07,1.07,1.06,1.04,0.85
82,Dauphin,County,PA,1.08,1.06,1.04,1.01,0.98,0.94
83,Delaware,County,NY,1.08,1.05,1.03,0.99,0.96,0.99
84,Delaware,County,PA,1.03,1.02,1.01,0.97,0.9,0.9
85,Dickenson,County,VA,1.07,1.04,1.02,0.99,0.96,0.94
86,Dinwiddie,County,VA,1.06,1.05,1.02,0.98,0.94,0.93
87,District of Columbia,County,DC,1.03,0.96,0.92,0.85,0.8,0.9
88,Doddridge,County,WV,1.1,1.11,1.12,1.13,1.13,0.94
89,Dorchester,County,MD,1.06,1.04,1.03,0.98,0.92,0.82
90,Elk,County,PA,1.02,1.02,1.02,1.04,1.06,0.95
91,Emporia,City,VA,1.09,1.06,1.03,0.99,0.94,0.88
92,Erie,County,PA,0.98,0.98,0.98,0.99,0.99,0.92
93,Essex,County,VA,1.01,1.03,1.01,0.99,0.98,0.78
94,Fairfax,County,VA,1.03,0.96,0.91,0.85,0.8,0.9
95,Fairfax,City,VA,1.03,0.96,0.91,0.84,0.8,0.86
96,Falls Church,City,VA,1.03,0.96,0.91,0.84,0.8,0.87
97,Fauquier,County,VA,0.97,0.93,0.9,0.89,0.89,0.88
98,Fayette,County,PA,0.98,0.96,0.94,0.93,0.92,0.96
99,Fayette,County,WV,1.09,1.06,1.04,0.98,0.92,0.92
100,Floyd,County,VA,1.08,1.06,1.05,1.03,1.02,0.95
101,Fluvanna,County,VA,0.99,0.98,0.97,0.98,1.0,0.9
102,Forest,County,PA,0.99,0.98,0.99,1.02,1.0,0.9
103,Franklin,County,PA,1.1,1.12,1.13,1.15,1.16,0.99
104,Franklin,County,VA,1.1,1.09,1.08,1.07,1.06,0.88
105,Franklin,City,VA,1.07,1.04,1.0,0.95,0.92,0.92
106,Frederick,County,MD,1.04,1.01,0.99,0.97,0.95,0.91
107,Frederick,County,VA,1.08,1.05,1.03,0.97,0.91,0.89
108,Fredericksburg,City,VA,1.0,0.96,0.94,0.92,0.91,0.82
109,Fulton,County,PA,1.07,1.07,1.07,1.08,1.1,0.9
110,Galax,City,VA,1.05,1.04,1.03,1.03,1.03,0.88
111,Garrett,County,MD,1.01,0.96,0.94,0.92,0.9,0.96
112,Giles,County,VA,1.08,1.06,1.05,1.05,1.05,0.97
113,Gilmer,County,WV,1.07,1.06,1.05,1.03,1.01,0.92
114,Gloucester,County,NJ,1.03,1.03,1.02,0.99,0.91,0.92
115,Gloucester,County,VA,1.06,1.03,1.02,0.99,0.97,0.8
116,Goochland,County,VA,1.0,0.99,1.0,1.01,1.03,0.89
117,Grant,County,WV,1.02,1.0,0.99,0.97,0.92,0.94
118,Grayson,County,VA,1.09,1.1,1.12,1.13,1.15,0.94
119,Greenbrier,County,WV,1.05,1.01,0.97,0.9,0.84,0.92
120,Greene,County,NY,1.1,1.05,1.0,0.93,0.86,0.97
121,Greene,County,PA,0.99,1.01,1.03,1.08,1.11,0.97
122,Greene,County,VA,0.95,0.92,0.92,0.95,0.97,0.88
123,Greensville,County,VA,1.1,1.07,1.03,0.98,0.94,0.93
124,Halifax,County,VA,1.09,1.06,1.04,1.01,1.0,0.96
125,Hampshire,County,WV,1.05,1.03,1.01,1.0,0.97,0.97
126,Hampton,City,VA,1.05,1.02,0.98,0.93,0.88,0.87
127,Hancock,County,WV,1.04,1.02,0.98,0.93,0.89,0.88
128,Hanover,County,VA,0.99,1.0,1.02,1.06,1.06,0.93
129,Hardy,County,WV,1.04,1.02,1.01,1.0,0.98,0.94
130,Harford,County,MD,0.98,0.96,0.96,0.96,0.96,0.89
131,Harrison,County,WV,1.07,1.07,1.06,1.02,0.97,0.95
132,Harrisonburg,City,VA,0.98,0.96,0.94,0.87,0.84,0.79
133,Henrico,County,VA,1.03,1.06,1.04,1.02,1.01,0.93
134,Henry,County,VA,1.11,1.11,1.11,1.1,1.1,0.88
135,Herkimer,County,NY,1.0,0.97,0.95,0.92,0.9,0.94
136,Highland,County,VA,1.02,0.99,0.97,0.96,0.91,0.89
137,Hopewell,City,VA,1.07,1.03,0.99,0.93,0.88,0.85
138,Howard,County,MD,1.0,0.98,0.97,0.96,0.96,0.9
139,Hunterdon,County,NJ,1.05,1.05,1.03,0.99,0.95,0.85
140,Huntingdon,County,PA,1.1,1.09,1.08,1.07,1.07,0.96
141,Indiana,County,PA,1.04,1.01,0.99,0.97,0.95,0.93
142,Isle of Wight,County,VA,1.08,1.05,1.02,0.98,0.94,0.9
143,Jackson,County,WV,1.05,1.05,1.06,1.08,1.02,0.97
144,James City,County,VA,1.06,1.04,1.02,0.99,0.95,0.77
145,Jefferson,County,PA,1.03,1.01,1.0,1.0,1.0,0.99
146,Jefferson,County,WV,1.03,1.0,0.97,0.93,0.89,0.88
147,Juniata,County,PA,1.08,1.1,1.11,1.11,1.09,0.98
148,Kanawha,County,WV,1.07,1.09,1.06,1.0,0.94,0.93
149,Kent,County,DE,1.03,1.02,1.02,0.99,0.95,0.87
150,Kent,County,MD,1.01,1.0,1.0,0.99,0.99,0.87
151,King George,County,VA,1.01,0.97,0.95,0.93,0.91,0.82
152,King William,County,VA,0.99,1.03,1.03,1.02,1.01,0.83
153,King and Queen,County,VA,1.02,1.03,1.01,0.98,0.96,0.79
154,Lackawanna,County,PA,1.07,1.07,1.08,1.09,1.07,0.99
155,Lancaster,County,PA,0.99,0.95,0.93,0.91,0.91,0.94
156,Lancaster,County,VA,1.04,1.0,0.98,0.96,0.92,0.8
157,Lawrence,County,PA,1.01,1.0,1.01,0.99,0.99,0.9
158,Lebanon,County,PA,1.02,0.98,0.95,0.93,0.91,0.92
159,Lee,County,VA,1.04,0.97,0.92,0.86,0.8,0.93
160,Lehigh,County,PA,1.05,1.05,1.05,1.06,1.07,0.94
161,Lewis,County,WV,1.07,1.06,1.04,1.01,0.98,0.94
162,Lexington,City,VA,1.04,1.02,1.02,1.0,0.98,0.89
163,Lincoln,County,WV,1.08,1.08,1.06,1.02,0.99,0.96
164,Livingston,County,NY,0.96,0.94,0.95,0.95,0.97,1.0
165,Logan,County,WV,1.1,1.07,1.05,1.02,0.99,0.94
166,Loudoun,County,VA,1.02,0.98,0.96,0.91,0.88,0.9
167,Louisa,County,VA,0.98,0.96,0.96,0.97,0.99,0.92
168,Lunenburg,County,VA,1.11,1.09,1.06,1.0,0.94,0.92
169,Luzerne,County,PA,1.07,1.08,1.09,1.1,1.1,0.98
170,Lycoming,County,PA,1.08,1.08,1.04,0.98,0.94,0.97
171,Lynchburg,City,VA,1.06,1.04,1.04,1.05,1.06,0.92
