,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.27,1.31,1.48,1.78,2.22,2.39
1,Adams,County,PA,1.43,1.76,2.1,2.72,3.32,4.64
2,Albemarle,County,VA,1.33,1.47,1.61,1.85,2.09,2.33
3,Alexandria,City,VA,1.24,1.37,1.43,1.74,2.19,2.82
4,Allegany,County,MD,1.34,1.5,1.72,2.14,2.54,3.32
5,Allegany,County,NY,1.48,1.52,1.53,1.86,2.37,2.97
6,Alleghany,County,VA,1.3,1.38,1.5,1.7,2.02,2.89
7,Allegheny,County,PA,1.21,1.28,1.42,1.68,1.95,2.15
8,Amelia,County,VA,1.35,1.41,1.69,2.25,2.83,3.37
9,Amherst,County,VA,1.31,1.43,1.55,1.79,2.04,2.53
10,Anne Arundel,County,MD,1.24,1.33,1.45,1.73,1.98,2.46
11,Appomattox,County,VA,1.43,1.51,1.58,1.75,1.9,2.0
12,Arlington,County,VA,1.24,1.31,1.54,2.11,2.91,3.06
13,Armstrong,County,PA,1.32,1.39,1.56,1.97,2.36,3.32
14,Atlantic,County,NJ,1.27,1.36,1.48,1.94,2.47,2.45
15,Augusta,County,VA,1.34,1.44,1.52,1.73,1.93,1.85
16,Baltimore,County,MD,1.27,1.43,1.65,2.09,2.51,2.72
17,Baltimore,County,MD,1.25,1.39,1.62,2.15,2.71,3.13
18,Barbour,County,WV,1.31,1.27,1.29,1.52,1.78,2.13
19,Bath,County,VA,1.28,1.39,1.52,1.71,1.97,2.39
20,Beaver,County,PA,1.27,1.36,1.4,1.75,2.14,2.49
21,Bedford,County,PA,1.27,1.43,1.61,1.97,2.34,3.02
22,Bedford,County,VA,1.29,1.36,1.43,1.62,1.87,2.23
23,Berkeley,County,WV,1.28,1.38,1.49,1.86,2.28,2.53
24,Berks,County,PA,1.28,1.47,1.65,2.05,2.65,2.94
25,Blair,County,PA,1.27,1.34,1.51,1.86,2.18,2.6
26,Bland,County,VA,1.31,1.35,1.35,1.49,1.66,1.95
27,Boone,County,WV,1.2,1.26,1.35,1.58,1.86,2.29
28,Botetourt,County,VA,1.3,1.38,1.52,1.75,2.0,2.46
29,Bradford,County,PA,1.25,1.42,1.65,2.15,2.68,3.08
30,Braxton,County,WV,1.24,1.25,1.33,1.62,1.94,2.42
31,Bristol,City,VA,1.28,1.32,1.3,1.54,1.67,2.05
32,Bronx,County,NY,1.31,1.43,1.53,1.64,1.79,2.29
33,Brooke,County,WV,1.27,1.41,1.44,1.56,1.76,3.04
34,Broome,County,NY,1.28,1.33,1.41,1.58,1.76,2.05
35,Brunswick,County,VA,1.31,1.36,1.43,1.53,1.74,2.01
36,Buchanan,County,VA,1.22,1.33,1.5,1.7,2.01,3.57
37,Buckingham,County,VA,1.35,1.5,1.6,1.97,2.39,3.22
38,Bucks,County,PA,1.28,1.39,1.47,1.64,1.87,5.95
39,Buena Vista,City,VA,1.42,1.48,1.57,1.68,1.97,2.65
40,Burlington,County,NJ,1.3,1.32,1.38,1.53,1.91,2.63
41,Butler,County,PA,1.26,1.34,1.4,1.61,1.92,2.25
42,Cabell,County,WV,1.23,1.28,1.38,1.67,1.97,2.46
43,Calhoun,County,WV,1.28,1.31,1.43,1.78,2.22,3.39
44,Calvert,County,MD,1.26,1.43,1.72,2.23,2.64,2.39
45,Cambria,County,PA,1.27,1.32,1.34,1.69,2.12,2.57
46,Camden,County,NJ,1.31,1.31,1.33,1.64,2.03,2.34
47,Cameron,County,PA,1.27,1.28,1.3,1.43,1.58,1.83
48,Campbell,County,VA,1.33,1.38,1.42,1.48,1.61,1.79
49,Cape May,County,NJ,1.31,1.39,1.63,2.14,2.67,2.81
50,Carbon,County,PA,1.24,1.46,1.69,2.2,2.79,3.72
51,Caroline,County,MD,1.24,1.38,1.53,1.91,2.32,2.72
52,Caroline,County,VA,1.23,1.6,2.05,2.86,3.46,2.77
53,Carroll,County,MD,1.41,1.59,1.86,2.33,2.7,3.46
54,Carroll,County,VA,1.27,1.31,1.4,2.11,3.2,3.68
55,Cecil,County,MD,1.39,1.39,1.47,1.81,2.17,2.46
56,Centre,County,PA,1.23,1.41,1.63,2.05,2.47,3.02
57,Charles,County,MD,1.28,1.32,1.5,1.94,2.43,3.71
58,Charles City,County,VA,1.27,1.29,1.46,1.8,2.14,2.26
59,Charlotte,County,VA,1.29,1.31,1.35,1.44,1.65,1.79
60,Charlottesville,City,VA,1.35,1.58,1.73,2.1,2.61,2.88
61,Chemung,County,NY,1.29,1.38,1.5,1.7,1.93,2.54
62,Chenango,County,NY,1.28,1.36,1.46,1.65,1.81,2.01
63,Chesapeake,City,VA,1.32,1.37,1.41,1.53,1.66,2.32
64,Chester,County,PA,1.33,1.39,1.51,2.06,2.65,2.15
65,Chesterfield,County,VA,1.26,1.31,1.4,1.58,1.75,2.2
66,Clarion,County,PA,1.26,1.3,1.38,1.54,1.72,2.24
67,Clarke,County,VA,1.37,1.53,1.69,1.99,2.29,2.9
68,Clay,County,WV,1.24,1.23,1.26,1.61,2.16,2.99
69,Clearfield,County,PA,1.24,1.3,1.32,1.49,1.72,2.03
70,Clinton,County,PA,1.24,1.33,1.49,1.81,2.15,2.66
71,Colonial Heights,City,VA,1.31,1.4,1.43,1.7,2.07,2.63
72,Columbia,County,PA,1.36,1.68,2.05,2.76,3.55,4.04
73,Cortland,County,NY,1.31,1.32,1.36,1.68,2.09,2.33
74,Covington,City,VA,1.31,1.37,1.48,1.93,2.39,3.56
75,Craig,County,VA,1.33,1.38,1.41,1.52,1.75,2.02
76,Crawford,County,PA,1.26,1.31,1.38,1.53,1.74,1.78
77,Culpeper,County,VA,1.36,1.38,1.44,1.57,1.73,2.08
78,Cumberland,County,NJ,1.23,1.29,1.38,1.66,2.03,2.68
79,Cumberland,County,PA,1.39,1.7,2.03,2.66,3.34,4.13
80,Cumberland,County,VA,1.31,1.41,1.64,2.11,2.62,3.17
81,Danville,City,VA,1.4,1.47,1.46,1.68,2.02,2.72
82,Dauphin,County,PA,1.34,1.65,1.98,2.62,3.29,3.97
83,Delaware,County,NY,1.35,1.45,1.56,1.83,2.13,2.78
