,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,0.94,0.91,0.88,0.75,0.63,0.6
1,Adams,County,PA,1.01,0.93,0.86,0.79,0.68,0.59
2,Albemarle,County,VA,0.89,0.77,0.69,0.6,0.55,0.49
3,Alexandria,City,VA,0.9,0.86,0.83,0.69,0.61,0.49
4,Allegany,County,MD,1.0,0.97,0.94,0.83,0.73,0.57
5,Allegany,County,NY,0.9,0.86,0.82,0.77,0.67,0.58
6,Alleghany,County,VA,1.0,0.98,0.94,0.79,0.65,0.58
7,Allegheny,County,PA,0.96,0.93,0.88,0.78,0.7,0.65
8,Amelia,County,VA,0.87,0.83,0.79,0.69,0.61,0.56
9,Amherst,County,VA,0.96,0.93,0.87,0.8,0.71,0.61
10,Anne Arundel,County,MD,0.95,0.93,0.89,0.82,0.75,0.66
11,Appomattox,County,VA,0.96,0.9,0.85,0.77,0.67,0.57
12,Arlington,County,VA,0.95,0.92,0.89,0.72,0.61,0.54
13,Armstrong,County,PA,0.94,0.87,0.82,0.77,0.72,0.65
14,Atlantic,County,NJ,0.94,0.85,0.76,0.63,0.55,0.48
15,Augusta,County,VA,0.94,0.82,0.73,0.62,0.55,0.48
16,Baltimore,County,MD,0.95,0.93,0.88,0.81,0.76,0.65
17,Baltimore,County,MD,0.87,0.8,0.78,0.64,0.54,0.51
18,Barbour,County,WV,0.97,0.94,0.9,0.75,0.64,0.55
19,Bath,County,VA,1.0,0.97,0.9,0.78,0.69,0.61
20,Beaver,County,PA,0.97,0.94,0.89,0.8,0.68,0.58
21,Bedford,County,PA,1.0,0.97,0.94,0.89,0.84,0.73
22,Bedford,County,VA,0.96,0.96,0.95,0.91,0.86,0.69
23,Berkeley,County,WV,0.99,0.97,0.94,0.87,0.77,0.69
24,Berks,County,PA,0.97,0.93,0.9,0.82,0.78,0.67
25,Blair,County,PA,0.99,0.96,0.91,0.84,0.74,0.67
26,Bland,County,VA,0.99,0.96,0.9,0.8,0.69,0.47
27,Boone,County,WV,0.99,0.97,0.9,0.75,0.59,0.47
28,Botetourt,County,VA,0.96,0.93,0.88,0.82,0.79,0.74
29,Bradford,County,PA,0.96,0.92,0.86,0.77,0.7,0.63
30,Braxton,County,WV,1.01,0.97,0.92,0.83,0.74,0.63
31,Bristol,City,VA,1.0,0.93,0.88,0.77,0.61,0.54
32,Bronx,County,NY,0.91,0.88,0.86,0.71,0.53,0.35
33,Brooke,County,WV,0.91,0.85,0.8,0.63,0.53,0.52
34,Broome,County,NY,0.92,0.91,0.89,0.78,0.66,0.54
35,Brunswick,County,VA,0.94,0.9,0.86,0.76,0.67,0.58
36,Buchanan,County,VA,0.97,0.95,0.93,0.82,0.73,0.63
37,Buckingham,County,VA,0.88,0.85,0.85,0.76,0.65,0.52
38,Bucks,County,PA,0.99,0.98,0.92,0.8,0.69,0.61
39,Buena Vista,City,VA,0.99,0.91,0.81,0.65,0.5,0.49
40,Burlington,County,NJ,0.98,0.96,0.92,0.87,0.83,0.73
41,Butler,County,PA,0.97,0.93,0.9,0.84,0.79,0.74
42,Cabell,County,WV,0.99,0.97,0.92,0.78,0.67,0.5
43,Calhoun,County,WV,0.95,0.89,0.82,0.7,0.62,0.49
44,Calvert,County,MD,0.96,0.88,0.83,0.75,0.67,0.58
45,Cambria,County,PA,0.97,0.91,0.85,0.76,0.7,0.64
46,Camden,County,NJ,0.98,0.97,0.95,0.84,0.75,0.63
47,Cameron,County,PA,0.95,0.9,0.86,0.79,0.71,0.61
48,Campbell,County,VA,0.98,0.97,0.95,0.89,0.77,0.67
49,Cape May,County,NJ,0.94,0.9,0.87,0.81,0.76,0.66
50,Carbon,County,PA,0.93,0.89,0.85,0.8,0.73,0.64
51,Caroline,County,MD,0.99,0.94,0.89,0.83,0.73,0.61
52,Caroline,County,VA,0.93,0.91,0.89,0.78,0.72,0.63
53,Carroll,County,MD,0.98,0.94,0.88,0.79,0.71,0.59
54,Carroll,County,VA,0.99,0.97,0.97,0.9,0.81,0.8
55,Cecil,County,MD,0.99,0.94,0.87,0.72,0.61,0.48
56,Centre,County,PA,0.98,0.94,0.9,0.82,0.75,0.68
57,Charles,County,MD,0.92,0.88,0.8,0.69,0.63,0.61
58,Charles City,County,VA,0.96,0.93,0.92,0.84,0.75,0.66
59,Charlotte,County,VA,0.97,0.93,0.88,0.83,0.72,0.58
60,Charlottesville,City,VA,0.88,0.77,0.71,0.62,0.53,0.53
61,Chemung,County,NY,0.95,0.95,0.88,0.73,0.66,0.48
62,Chenango,County,NY,0.94,0.93,0.93,0.85,0.76,0.7
63,Chesapeake,City,VA,0.91,0.87,0.83,0.67,0.55,0.48
64,Chester,County,PA,0.97,0.91,0.87,0.78,0.71,0.66
65,Chesterfield,County,VA,0.91,0.86,0.83,0.72,0.59,0.56
66,Clarion,County,PA,0.98,0.95,0.89,0.75,0.63,0.61
67,Clarke,County,VA,0.97,0.89,0.82,0.73,0.64,0.53
68,Clay,County,WV,0.96,0.96,0.93,0.8,0.69,0.38
69,Clearfield,County,PA,0.96,0.91,0.86,0.81,0.74,0.69
70,Clinton,County,PA,0.97,0.92,0.89,0.82,0.74,0.66
71,Colonial Heights,City,VA,0.85,0.84,0.83,0.73,0.58,0.66
72,Columbia,County,PA,0.96,0.94,0.88,0.79,0.72,0.6
73,Cortland,County,NY,0.96,0.95,0.92,0.81,0.71,0.65
74,Covington,City,VA,0.93,0.95,0.87,0.77,0.66,0.57
75,Craig,County,VA,0.91,0.91,0.91,0.88,0.8,0.71
76,Crawford,County,PA,0.94,0.93,0.92,0.85,0.78,0.84
77,Culpeper,County,VA,0.94,0.89,0.86,0.83,0.82,0.78
78,Cumberland,County,NJ,0.94,0.83,0.75,0.63,0.55,0.49
79,Cumberland,County,PA,0.94,0.91,0.89,0.83,0.73,0.68
80,Cumberland,County,VA,0.9,0.86,0.83,0.81,0.74,0.61
81,Danville,City,VA,0.95,0.93,0.86,0.75,0.65,0.55
82,Dauphin,County,PA,0.99,0.97,0.94,0.8,0.71,0.65
83,Delaware,County,NY,0.96,0.92,0.85,0.76,0.68,0.6
84,Delaware,County,PA,0.94,0.88,0.85,0.8,0.73,0.47
85,Dickenson,County,VA,0.96,0.95,0.88,0.75,0.65,0.58
86,Dinwiddie,County,VA,0.97,0.94,0.87,0.7,0.58,0.5
87,District of Columbia,County,DC,0.93,0.88,0.87,0.8,0.71,0.56
88,Doddridge,County,WV,0.97,0.95,0.88,0.75,0.65,0.55
89,Dorchester,County,MD,0.92,0.87,0.84,0.8,0.77,0.69
90,Elk,County,PA,0.96,0.9,0.86,0.77,0.68,0.59
91,Emporia,City,VA,0.93,0.92,0.85,0.71,0.53,0.48
92,Erie,County,PA,0.96,0.91,0.89,0.81,0.72,0.73
93,Essex,County,VA,0.94,0.9,0.87,0.82,0.73,0.6
94,Fairfax,County,VA,0.94,0.89,0.88,0.75,0.67,0.57
95,Fairfax,City,VA,0.92,0.85,0.78,0.73,0.64,0.5
96,Falls Church,City,VA,0.95,0.91,0.88,0.74,0.64,0.54
97,Fauquier,County,VA,0.96,0.89,0.81,0.71,0.64,0.55
98,Fayette,County,PA,0.99,0.96,0.9,0.74,0.64,0.57
99,Fayette,County,WV,0.93,0.88,0.85,0.8,0.72,0.5
100,Floyd,County,VA,0.94,0.88,0.84,0.78,0.74,0.7
101,Fluvanna,County,VA,0.88,0.81,0.74,0.65,0.6,0.54
102,Forest,County,PA,0.95,0.95,0.91,0.79,0.71,0.66
103,Franklin,County,PA,1.01,0.97,0.91,0.79,0.71,0.51
104,Franklin,County,VA,0.92,0.86,0.84,0.8,0.79,0.74
105,Franklin,City,VA,0.83,0.73,0.71,0.68,0.64,0.48
106,Frederick,County,MD,0.99,0.92,0.86,0.8,0.77,0.65
107,Frederick,County,VA,0.91,0.91,0.92,0.83,0.7,0.57
108,Fredericksburg,City,VA,0.94,0.91,0.78,0.63,0.53,0.44
109,Fulton,County,PA,0.99,0.99,0.94,0.86,0.79,0.7
110,Galax,City,VA,0.87,0.83,0.82,0.71,0.65,0.49
111,Garrett,County,MD,0.98,0.94,0.91,0.69,0.49,0.45
112,Giles,County,VA,0.97,0.95,0.94,0.84,0.71,0.47
113,Gilmer,County,WV,1.0,0.96,0.91,0.76,0.61,0.5
114,Gloucester,County,NJ,0.97,0.94,0.91,0.83,0.71,0.46
115,Gloucester,County,VA,0.94,0.92,0.89,0.78,0.7,0.59
116,Goochland,County,VA,0.88,0.8,0.74,0.66,0.61,0.55
117,Grant,County,WV,0.99,0.96,0.94,0.82,0.7,0.73
118,Grayson,County,VA,0.95,0.95,0.93,0.9,0.74,0.74
119,Greenbrier,County,WV,0.97,0.97,0.93,0.8,0.7,0.69
120,Greene,County,NY,0.93,0.91,0.89,0.8,0.66,0.51
121,Greene,County,PA,1.01,0.98,0.89,0.75,0.65,0.37
122,Greene,County,VA,0.9,0.81,0.73,0.63,0.51,0.47
123,Greensville,County,VA,0.93,0.92,0.85,0.74,0.66,0.56
124,Halifax,County,VA,0.96,0.93,0.9,0.86,0.73,0.5
