,2,5,10,25,50,100
51,75.0,97.0,117.0,145.0,170.0,197.0
51,70.0,87.0,101.0,124.0,145.0,169.0
51,84.0,108.0,127.0,155.0,178.0,203.0
51,72.0,92.0,110.0,136.0,159.0,184.0
51,59.0,73.0,85.0,103.0,118.0,134.0
51,49.0,63.0,74.0,86.0,95.0,105.0
51,63.0,79.0,92.0,110.0,125.0,141.0
51,56.0,68.0,79.0,93.0,104.0,116.0
51,75.0,95.0,113.0,137.0,158.0,181.0
51,80.0,102.0,120.0,145.0,167.0,190.0
51,74.0,96.0,114.0,142.0,165.0,192.0
51,80.0,102.0,120.0,147.0,169.0,193.0
51,73.0,93.0,111.0,138.0,161.0,187.0
51,57.0,70.0,80.0,95.0,107.0,119.0
51,77.0,99.0,119.0,148.0,173.0,200.0
51,68.0,85.0,100.0,120.0,137.0,154.0
51,76.0,98.0,116.0,144.0,169.0,196.0
51,61.0,74.0,85.0,99.0,111.0,123.0
51,69.0,86.0,100.0,120.0,136.0,153.0
51,56.0,68.0,78.0,92.0,103.0,115.0
51,61.0,76.0,88.0,106.0,121.0,136.0
51,79.0,100.0,118.0,144.0,165.0,188.0
51,66.0,82.0,95.0,113.0,129.0,145.0
51,73.0,92.0,107.0,129.0,148.0,168.0
51,62.0,77.0,89.0,107.0,121.0,136.0
51,61.0,73.0,83.0,96.0,107.0,118.0
51,63.0,76.0,86.0,101.0,113.0,125.0
51,72.0,91.0,106.0,128.0,147.0,166.0
51,58.0,70.0,80.0,94.0,105.0,115.0
51,62.0,75.0,86.0,100.0,112.0,124.0
51,61.0,72.0,80.0,90.0,98.0,106.0
51,68.0,89.0,106.0,126.0,140.0,155.0
51,57.0,69.0,79.0,94.0,105.0,117.0
51,53.0,68.0,81.0,95.0,106.0,115.0
51,79.0,101.0,119.0,146.0,167.0,190.0
51,61.0,74.0,85.0,101.0,114.0,127.0
51,79.0,100.0,118.0,144.0,166.0,190.0
51,77.0,97.0,113.0,136.0,155.0,176.0
51,69.0,87.0,102.0,123.0,140.0,159.0
51,79.0,102.0,122.0,150.0,175.0,202.0
51,57.0,69.0,80.0,94.0,106.0,118.0
51,63.0,76.0,86.0,101.0,113.0,125.0
51,61.0,74.0,84.0,99.0,110.0,122.0
51,77.0,100.0,119.0,148.0,173.0,201.0
51,61.0,74.0,86.0,102.0,115.0,128.0
51,77.0,99.0,118.0,145.0,168.0,193.0
51,60.0,73.0,84.0,100.0,114.0,129.0
51,78.0,99.0,117.0,142.0,164.0,187.0
51,76.0,99.0,118.0,146.0,171.0,199.0
51,78.0,97.0,113.0,139.0,162.0,190.0
51,76.0,98.0,118.0,146.0,171.0,198.0
51,75.0,97.0,115.0,143.0,167.0,193.0
51,70.0,89.0,105.0,130.0,152.0,177.0
51,77.0,97.0,114.0,136.0,154.0,173.0
51,75.0,96.0,113.0,138.0,160.0,184.0
