OID_,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Longitude,Latitude
1,37,17,1026336,0500000US37017,37017,Bladen,6,2265887723,33010866,-78.56180059,34.61296243
2,37,167,1025844,0500000US37167,37167,Stanly,6,1023370459,25242751,-80.25094298,35.31647742
3,39,153,1074088,0500000US39153,39153,Summit,6,1069181981,18958267,-81.53123079,41.12464734
4,42,113,1213687,0500000US42113,42113,Sullivan,6,1165338428,6617028,-76.51246591,41.44634738
5,48,459,1384015,0500000US48459,48459,Upshur,6,1509910100,24878888,-94.93856969,32.73936343
6,48,49,1383810,0500000US48049,48049,Brown,6,2446120250,32375524,-98.99907225,31.77429755
7,45,21,1247987,0500000US45021,45021,Cherokee,6,1018732778,11714267,-81.61846243,35.05113357
8,1,43,161547,0500000US01043,1043,Cullman,6,1903073019,52422496,-86.86887948,34.13020195
9,54,23,1697238,0500000US54023,54023,Grant,6,1236390677,7545525,-79.19440518,39.10314817
10,46,55,1266988,0500000US46055,46055,Haakon,6,4689282658,42449843,-101.5382456,44.29451141
11,55,61,1581090,0500000US55061,55061,Kewaunee,6,886951858,1921336271,-87.61468386,44.51727459
12,18,49,450353,0500000US18049,18049,Fulton,6,954146352,7426335,-86.26252745,41.0469907
13,19,83,465230,0500000US19083,19083,Hardin,6,1474505075,1776735,-93.23654611,42.38353877
14,20,133,485030,0500000US20133,20133,Neosho,6,1480111173,16369480,-95.30682401,37.5582728
15,31,133,835888,0500000US31133,31133,Pawnee,6,1116478182,4852361,-96.23705437,40.13141096
16,1,59,161555,0500000US01059,1059,Franklin,6,1641841406,32643981,-87.84289505,34.44235334
17,29,175,758542,0500000US29175,29175,Randolph,6,1250217892,13254191,-92.4971374,39.44007257
18,35,28,1702366,0500000US35028,35028,Los Alamos,6,282827023,224479,-106.3134985,35.86631386
19,37,105,1008567,0500000US37105,37105,Lee,6,660607408,10725289,-79.17569362,35.47623147
20,39,137,1074081,0500000US39137,39137,Putnam,6,1249783590,4544874,-84.1336111,41.02094889
21,45,39,1248000,0500000US45039,45039,Fairfield,6,1777452219,61132193,-81.1195624,34.39287073
22,48,21,1383796,0500000US48021,48021,Bastrop,6,2300370292,19079348,-97.31206354,30.10370699
23,55,113,1581116,0500000US55113,55113,Sawyer,6,3257216619,239883874,-91.14504927,45.87931905
24,48,233,1383902,0500000US48233,48233,Hutchinson,6,2298408152,19507502,-101.3546643,35.84006574
25,55,31,1581075,0500000US55031,55031,Douglas,6,3378102266,454243357,-91.91595768,46.43222285
26,48,95,1383833,0500000US48095,48095,Concho,6,2547914009,25740025,-99.86473038,31.32635934
27,51,65,1494061,0500000US51065,51065,Fluvanna,6,743630414,10747025,-78.27714329,37.84155892
28,55,41,1581080,0500000US55041,55041,Forest,6,2626878508,83594186,-88.77084892,45.66678019
29,26,121,1623003,0500000US26121,26121,Muskegon,6,1305064357,2476380060,-86.15176712,43.29123859
30,27,5,659448,0500000US27005,27005,Becker,6,3406054658,336952350,-95.67158145,46.93479392
31,40,77,1101826,0500000US40077,40077,Latimer,6,1870096895,18296988,-95.25029113,34.87645653
32,22,73,558114,0500000US22073,22073,Ouachita,15,1580920629,55305574,-92.15702193,32.47644432
33,15,5,1702380,0500000US15005,15005,Kalawao,6,31057603,105764468,-156.9583592,21.17882515
34,1,23,161537,0500000US01023,1023,Choctaw,6,2365869835,19144469,-88.2656443,32.02227341
35,12,123,295728,0500000US12123,12123,Taylor,6,2702180641,489194665,-83.60443869,30.04847475
36,18,127,450382,0500000US18127,18127,Porter,6,1082793402,268672610,-87.06848888,41.45986947
37,20,75,485327,0500000US20075,20075,Hamilton,6,2580958328,2893322,-101.7921066,37.99978709
38,26,139,1623012,0500000US26139,26139,Ottawa,6,1459502408,2765830983,-85.9966846,42.95994031
39,26,101,1622993,0500000US26101,26101,Manistee,6,1404616462,1912440723,-86.05626916,44.33352407
40,36,5,974101,0500000US36005,36005,Bronx,6,108908944,39688554,-73.86283008,40.8520873
41,40,25,1101800,0500000US40025,40025,Cimarron,6,4752113916,15923999,-102.5173885,36.74817177
42,38,19,1035304,0500000US38019,38019,Cavalier,6,3856393937,54384493,-98.46685243,48.77286211
43,38,95,1034213,0500000US38095,38095,Towner,6,2653593197,43823568,-99.24564265,48.68565745
44,5,145,69906,0500000US05145,5145,White,6,2680852090,18293048,-91.74908898,35.25687842
45,13,81,351607,0500000US13081,13081,Crisp,6,706189044,21457002,-83.76789031,31.92299618
46,13,43,342852,0500000US13043,13043,Candler,6,629520691,15018337,-82.07701373,32.40211468
47,18,15,450406,0500000US18015,18015,Carroll,6,964054632,7239102,-86.56198812,40.5807832
48,19,141,465259,0500000US19141,19141,O'Brien,6,1484154162,447448,-95.62474482,43.08310673
49,20,123,485026,0500000US20123,20123,Mitchell,6,1817632933,44979980,-98.20910881,39.39329792
50,17,23,424213,0500000US17023,17023,Clark,6,1298695036,8796711,-87.78705622,39.33425789
51,24,47,1668802,0500000US24047,24047,Worcester,6,1212861863,586815923,-75.33190011,38.21290662
52,26,19,1622952,0500000US26019,26019,Benzie,6,828014438,1398245684,-86.0158936,44.63935705
53,31,135,835889,0500000US31135,31135,Perkins,6,2287828025,2840176,-101.6502942,40.85082525
54,20,189,485056,0500000US20189,20189,Stevens,6,1883595654,464936,-101.3119467,37.19228761
55,46,105,1266990,0500000US46105,46105,Perkins,6,7434503230,50539948,-102.4755586,45.49049506
56,51,25,1493961,0500000US51025,51025,Brunswick,6,1466539956,8381933,-77.8593436,36.76366949
57,51,141,1497999,0500000US51141,51141,Patrick,6,1250846143,7141128,-80.2865648,36.6801638
58,1,109,161581,0500000US01109,1109,Pike,6,1740647518,2336975,-85.94149525,31.8041508
59,13,13,356976,0500000US13013,13013,Barrow,6,417082282,4909657,-83.71437349,33.99151528
60,18,125,450381,0500000US18125,18125,Pike,6,865825919,17604088,-87.23574907,38.40112197
61,19,81,465229,0500000US19081,19081,Hancock,6,1478895049,5265568,-93.73454884,43.08178477
62,21,215,516954,0500000US21215,21215,Spencer,6,483607178,12792868,-85.32751499,38.03224103
63,26,87,1622986,0500000US26087,26087,Lapeer,6,1669484578,47274003,-83.22153148,43.09052506
64,27,9,659450,0500000US27009,27009,Benton,6,1057483355,12286988,-93.99514135,45.69804958
65,27,7,659449,0500000US27007,27007,Beltrami,6,6487155243,1426286994,-94.93732139,47.97373527
66,28,115,695803,0500000US28115,28115,Pontotoc,6,1289201714,8437676,-89.03636807,34.226046
67,1,75,161563,0500000US01075,1075,Lamar,6,1566544637,1600679,-88.09668032,33.77995024
68,12,61,307624,0500000US12061,12061,Indian River,6,1302203812,295578903,-80.60556721,27.69308961
69,12,73,306916,0500000US12073,12073,Leon,6,1727086019,90548394,-84.27491122,30.45955782
70,26,149,1625034,0500000US26149,26149,St. Joseph,6,1296536370,52915576,-85.52797979,41.91441767
71,26,31,1622958,0500000US26031,26031,Cheboygan,6,1852551605,440619495,-84.50122149,45.44787015
72,31,165,835904,0500000US31165,31165,Sioux,6,5352724893,1681023,-103.7576544,42.48932059
73,39,51,1074038,0500000US39051,39051,Fulton,6,1050100890,4588525,-84.12571393,41.60213491
