,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.29,1.38,1.47,1.66,1.9,2.36
1,Adams,County,PA,1.27,1.45,1.57,1.98,2.51,3.36
2,Albemarle,County,VA,1.18,1.23,1.3,1.43,1.57,1.88
3,Alexandria,City,VA,1.33,1.3,1.39,1.59,1.82,2.48
4,Allegany,County,MD,1.43,1.55,1.7,1.87,2.01,4.09
5,Allegany,County,NY,1.23,1.24,1.31,1.45,1.63,2.78
6,Alleghany,County,VA,1.27,1.41,1.53,1.85,2.21,2.88
7,Allegheny,County,PA,1.27,1.31,1.36,1.45,1.53,2.36
8,Amelia,County,VA,1.26,1.3,1.34,1.62,2.16,3.05
9,Amherst,County,VA,1.25,1.3,1.33,1.52,1.84,1.9
10,Anne Arundel,County,MD,1.33,1.48,1.59,1.7,1.75,2.79
11,Appomattox,County,VA,1.22,1.3,1.38,1.74,2.3,3.1
12,Arlington,County,VA,1.33,1.3,1.39,1.59,1.82,2.13
13,Armstrong,County,PA,1.23,1.24,1.36,1.6,1.83,2.91
14,Atlantic,County,NJ,1.17,1.19,1.21,1.27,1.38,2.94
15,Augusta,County,VA,1.25,1.33,1.37,1.43,1.5,1.99
16,Baltimore,County,MD,1.3,1.36,1.41,1.51,1.59,2.58
17,Baltimore,County,MD,1.29,1.41,1.47,1.55,1.59,2.4
18,Barbour,County,WV,1.28,1.36,1.43,1.55,1.65,2.58
19,Bath,County,VA,1.27,1.36,1.5,1.82,2.19,2.33
20,Beaver,County,PA,1.27,1.3,1.35,1.43,1.46,2.2
21,Bedford,County,PA,1.27,1.33,1.41,1.57,1.75,2.56
22,Bedford,County,VA,1.25,1.32,1.41,1.73,2.18,4.92
23,Berkeley,County,WV,1.31,1.36,1.4,1.51,1.67,2.3
24,Berks,County,PA,1.22,1.25,1.31,1.47,1.59,2.03
25,Blair,County,PA,1.26,1.3,1.29,1.47,1.81,2.23
26,Bland,County,VA,1.18,1.24,1.38,1.72,2.14,2.31
27,Boone,County,WV,1.27,1.3,1.33,1.4,1.48,1.79
28,Botetourt,County,VA,1.28,1.39,1.54,1.85,2.2,2.91
29,Bradford,County,PA,1.35,1.34,1.35,1.54,1.86,2.83
30,Braxton,County,WV,1.3,1.46,1.6,1.71,2.21,2.22
31,Bristol,City,VA,1.33,1.41,1.48,1.82,2.15,1.92
32,Bronx,County,NY,1.21,1.25,1.36,1.57,1.82,2.92
33,Brooke,County,WV,1.27,1.31,1.31,1.49,1.89,2.3
34,Broome,County,NY,1.21,1.24,1.29,1.38,1.46,2.16
35,Brunswick,County,VA,1.24,1.24,1.29,1.39,1.53,2.42
36,Buchanan,County,VA,1.23,1.24,1.34,1.56,1.81,1.97
37,Buckingham,County,VA,1.24,1.29,1.38,1.53,1.66,2.15
38,Bucks,County,PA,1.2,1.21,1.22,1.29,1.48,2.52
39,Buena Vista,City,VA,1.26,1.32,1.35,1.53,1.91,1.75
40,Burlington,County,NJ,1.17,1.19,1.22,1.42,1.67,1.87
41,Butler,County,PA,1.28,1.3,1.31,1.36,1.44,3.09
42,Cabell,County,WV,1.32,1.29,1.3,1.36,1.66,2.15
43,Calhoun,County,WV,1.29,1.37,1.48,1.67,1.86,2.19
44,Calvert,County,MD,1.35,1.55,1.73,2.02,2.14,2.23
45,Cambria,County,PA,1.23,1.24,1.24,1.25,1.27,2.15
46,Camden,County,NJ,1.18,1.23,1.26,1.35,1.56,2.2
47,Cameron,County,PA,1.25,1.24,1.22,1.3,1.55,2.78
48,Campbell,County,VA,1.27,1.34,1.4,1.56,1.81,5.57
49,Cape May,County,NJ,1.2,1.2,1.22,1.28,1.55,2.13
50,Carbon,County,PA,1.21,1.24,1.27,1.51,1.77,2.06
51,Caroline,County,MD,1.22,1.31,1.4,1.55,1.73,2.39
52,Caroline,County,VA,1.37,1.46,1.51,1.53,1.63,2.05
53,Carroll,County,MD,1.27,1.38,1.45,1.69,1.93,2.49
54,Carroll,County,VA,1.24,1.32,1.46,1.76,2.11,2.63
55,Cecil,County,MD,1.23,1.28,1.29,1.3,1.34,1.92
56,Centre,County,PA,1.27,1.29,1.33,1.49,1.73,1.92
57,Charles,County,MD,1.37,1.49,1.59,1.76,1.83,2.89
58,Charles City,County,VA,1.23,1.26,1.36,1.65,2.0,2.29
59,Charlotte,County,VA,1.23,1.25,1.34,1.65,2.1,2.88
60,Charlottesville,City,VA,1.17,1.18,1.21,1.4,1.61,2.55
61,Chemung,County,NY,1.23,1.27,1.46,1.84,2.27,2.64
62,Chenango,County,NY,1.21,1.21,1.25,1.32,1.45,1.92
63,Chesapeake,City,VA,1.24,1.31,1.41,1.52,1.68,2.35
64,Chester,County,PA,1.23,1.27,1.3,1.33,1.33,2.2
65,Chesterfield,County,VA,1.26,1.3,1.33,1.87,2.55,2.36
66,Clarion,County,PA,1.27,1.28,1.28,1.55,1.98,2.55
67,Clarke,County,VA,1.29,1.29,1.3,1.33,1.41,1.82
68,Clay,County,WV,1.29,1.33,1.39,1.49,1.61,2.31
69,Clearfield,County,PA,1.2,1.2,1.2,1.22,1.24,2.06
70,Clinton,County,PA,1.26,1.27,1.3,1.37,1.54,2.39
71,Colonial Heights,City,VA,1.24,1.29,1.4,1.82,2.26,2.8
72,Columbia,County,PA,1.22,1.28,1.47,1.9,2.37,2.59
73,Cortland,County,NY,1.15,1.15,1.2,1.52,1.94,2.23
74,Covington,City,VA,1.27,1.42,1.6,1.97,2.34,3.32
75,Craig,County,VA,1.24,1.33,1.49,1.92,2.33,2.69
76,Crawford,County,PA,1.26,1.38,1.51,1.9,2.31,2.96
77,Culpeper,County,VA,1.22,1.23,1.22,1.31,1.5,1.71
78,Cumberland,County,NJ,1.23,1.22,1.2,1.32,1.42,3.09
79,Cumberland,County,PA,1.28,1.41,1.56,1.76,2.11,2.59
80,Cumberland,County,VA,1.22,1.29,1.38,1.55,1.74,2.12
81,Danville,City,VA,1.26,1.27,1.31,1.42,1.59,2.1
82,Dauphin,County,PA,1.27,1.33,1.4,1.64,2.01,2.84
