,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.12,1.15,1.13,1.14,1.12,1.08
1,Adams,County,PA,1.14,1.16,1.18,1.19,1.2,1.09
2,Albemarle,County,VA,1.14,1.12,1.14,1.13,1.1,1.14
3,Alexandria,City,VA,1.11,1.14,1.18,1.22,1.24,1.14
4,Allegany,County,MD,1.14,1.15,1.17,1.21,1.24,1.13
5,Allegany,County,NY,1.12,1.12,1.13,1.14,1.15,1.15
6,Alleghany,County,VA,1.15,1.17,1.19,1.19,1.19,1.15
7,Allegheny,County,PA,1.15,1.12,1.09,1.08,1.08,1.08
8,Amelia,County,VA,1.11,1.1,1.1,1.11,1.14,1.18
9,Amherst,County,VA,1.16,1.18,1.18,1.18,1.19,1.16
10,Anne Arundel,County,MD,1.14,1.16,1.17,1.17,1.17,1.09
11,Appomattox,County,VA,1.11,1.12,1.16,1.19,1.21,1.12
12,Arlington,County,VA,1.11,1.14,1.18,1.22,1.24,1.1
13,Armstrong,County,PA,1.11,1.13,1.14,1.12,1.14,1.13
14,Atlantic,County,NJ,1.11,1.12,1.12,1.12,1.11,1.09
15,Augusta,County,VA,1.13,1.11,1.08,1.04,1.02,1.13
16,Baltimore,County,MD,1.15,1.15,1.16,1.19,1.21,1.1
17,Baltimore,County,MD,1.14,1.18,1.2,1.2,1.2,1.06
18,Barbour,County,WV,1.14,1.14,1.13,1.07,1.04,1.1
19,Bath,County,VA,1.13,1.13,1.12,1.11,1.1,1.12
20,Beaver,County,PA,1.13,1.1,1.08,1.06,1.05,1.12
21,Bedford,County,PA,1.16,1.16,1.16,1.19,1.23,1.18
22,Bedford,County,VA,1.19,1.21,1.24,1.29,1.31,1.16
23,Berkeley,County,WV,1.12,1.12,1.13,1.17,1.18,1.11
24,Berks,County,PA,1.15,1.15,1.14,1.17,1.17,1.18
25,Blair,County,PA,1.13,1.13,1.14,1.16,1.17,1.18
26,Bland,County,VA,1.14,1.17,1.2,1.23,1.24,1.14
27,Boone,County,WV,1.18,1.17,1.15,1.14,1.14,1.12
28,Botetourt,County,VA,1.18,1.2,1.23,1.26,1.28,1.17
