,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.12,1.12,1.13,1.12,1.12,1.12
1,Adams,County,PA,1.12,1.13,1.12,1.12,1.11,1.08
2,Albemarle,County,VA,1.12,1.12,1.13,1.14,1.14,1.15
3,Alexandria,City,VA,1.08,1.08,1.08,1.1,1.12,1.15
4,Allegany,County,MD,1.11,1.12,1.13,1.14,1.13,1.13
5,Allegany,County,NY,1.12,1.11,1.1,1.08,1.07,1.07
6,Alleghany,County,VA,1.11,1.12,1.13,1.14,1.14,1.14
7,Allegheny,County,PA,1.11,1.09,1.09,1.08,1.07,1.06
8,Amelia,County,VA,1.09,1.09,1.09,1.1,1.1,1.11
9,Amherst,County,VA,1.12,1.14,1.15,1.15,1.15,1.15
10,Anne Arundel,County,MD,1.08,1.08,1.07,1.09,1.1,1.11
11,Appomattox,County,VA,1.14,1.14,1.14,1.13,1.13,1.13
12,Arlington,County,VA,1.07,1.07,1.08,1.09,1.11,1.13
13,Armstrong,County,PA,1.09,1.1,1.1,1.12,1.13,1.14
14,Atlantic,County,NJ,1.12,1.12,1.11,1.11,1.12,1.11
15,Augusta,County,VA,1.12,1.12,1.12,1.14,1.14,1.15
16,Baltimore,County,MD,1.09,1.09,1.1,1.1,1.11,1.11
17,Baltimore,County,MD,1.11,1.09,1.09,1.09,1.11,1.13
18,Barbour,County,WV,1.07,1.07,1.07,1.07,1.07,1.05
19,Bath,County,VA,1.12,1.14,1.14,1.14,1.14,1.15
20,Beaver,County,PA,1.11,1.11,1.09,1.09,1.08,1.06
21,Bedford,County,PA,1.12,1.12,1.14,1.14,1.15,1.17
22,Bedford,County,VA,1.13,1.15,1.15,1.15,1.15,1.16
23,Berkeley,County,WV,1.13,1.13,1.13,1.11,1.1,1.08
24,Berks,County,PA,1.13,1.13,1.12,1.13,1.14,1.16
25,Blair,County,PA,1.13,1.13,1.14,1.14,1.15,1.15
26,Bland,County,VA,1.1,1.1,1.11,1.13,1.14,1.14
27,Boone,County,WV,1.1,1.11,1.11,1.11,1.11,1.12
28,Botetourt,County,VA,1.12,1.16,1.17,1.15,1.15,1.15
29,Bradford,County,PA,1.08,1.09,1.08,1.1,1.13,1.17
30,Braxton,County,WV,1.08,1.07,1.08,1.07,1.06,1.04
31,Bristol,City,VA,1.1,1.11,1.11,1.12,1.13,1.13
32,Bronx,County,NY,1.12,1.12,1.12,1.09,1.07,1.05
33,Brooke,County,WV,1.12,1.12,1.12,1.12,1.12,1.12
34,Broome,County,NY,1.1,1.1,1.09,1.09,1.1,1.11
35,Brunswick,County,VA,1.08,1.09,1.1,1.1,1.1,1.09
36,Buchanan,County,VA,1.1,1.11,1.09,1.09,1.08,1.08
37,Buckingham,County,VA,1.11,1.11,1.11,1.11,1.11,1.11
38,Bucks,County,PA,1.1,1.09,1.1,1.1,1.11,1.11
39,Buena Vista,City,VA,1.12,1.13,1.13,1.13,1.13,1.12
40,Burlington,County,NJ,1.1,1.1,1.09,1.09,1.08,1.07
41,Butler,County,PA,1.11,1.1,1.1,1.11,1.12,1.11
42,Cabell,County,WV,1.11,1.1,1.11,1.11,1.12,1.13
43,Calhoun,County,WV,1.13,1.13,1.13,1.12,1.12,1.09
44,Calvert,County,MD,1.08,1.08,1.07,1.08,1.09,1.11
45,Cambria,County,PA,1.07,1.07,1.08,1.1,1.12,1.15
46,Camden,County,NJ,1.1,1.09,1.09,1.09,1.09,1.09
47,Cameron,County,PA,1.1,1.11,1.11,1.11,1.11,1.12
48,Campbell,County,VA,1.14,1.15,1.15,1.14,1.13,1.13
49,Cape May,County,NJ,1.09,1.1,1.11,1.11,1.12,1.13
50,Carbon,County,PA,1.11,1.12,1.12,1.14,1.15,1.16
51,Caroline,County,MD,1.09,1.1,1.1,1.1,1.1,1.1
52,Caroline,County,VA,1.08,1.09,1.1,1.11,1.11,1.11
53,Carroll,County,MD,1.13,1.11,1.11,1.12,1.11,1.1
54,Carroll,County,VA,1.12,1.12,1.12,1.11,1.11,1.11
55,Cecil,County,MD,1.13,1.11,1.12,1.1,1.1,1.1
56,Centre,County,PA,1.12,1.12,1.12,1.12,1.11,1.11
57,Charles,County,MD,1.09,1.09,1.09,1.12,1.14,1.15
58,Charles City,County,VA,1.08,1.07,1.08,1.06,1.06,1.05
59,Charlotte,County,VA,1.11,1.11,1.11,1.12,1.13,1.13
60,Charlottesville,City,VA,1.11,1.13,1.13,1.13,1.13,1.14
61,Chemung,County,NY,1.09,1.1,1.11,1.12,1.12,1.14
62,Chenango,County,NY,1.09,1.09,1.09,1.09,1.09,1.1
63,Chesapeake,City,VA,1.11,1.1,1.11,1.11,1.13,1.13
64,Chester,County,PA,1.11,1.12,1.11,1.11,1.11,1.1
65,Chesterfield,County,VA,1.1,1.1,1.1,1.11,1.11,1.13
66,Clarion,County,PA,1.11,1.11,1.11,1.12,1.12,1.13
67,Clarke,County,VA,1.15,1.13,1.12,1.09,1.07,1.05
68,Clay,County,WV,1.08,1.08,1.08,1.08,1.08,1.07
69,Clearfield,County,PA,1.12,1.11,1.1,1.1,1.1,1.1
70,Clinton,County,PA,1.12,1.12,1.12,1.11,1.11,1.11
71,Colonial Heights,City,VA,1.09,1.08,1.09,1.11,1.12,1.13
72,Columbia,County,PA,1.12,1.13,1.14,1.15,1.16,1.17
73,Cortland,County,NY,1.09,1.1,1.09,1.1,1.11,1.11
74,Covington,City,VA,1.1,1.12,1.13,1.13,1.13,1.16
75,Craig,County,VA,1.12,1.14,1.15,1.15,1.14,1.14
76,Crawford,County,PA,1.11,1.12,1.12,1.13,1.13,1.12
77,Culpeper,County,VA,1.14,1.13,1.13,1.12,1.11,1.11
78,Cumberland,County,NJ,1.1,1.11,1.11,1.11,1.12,1.13
79,Cumberland,County,PA,1.14,1.14,1.13,1.13,1.13,1.12
80,Cumberland,County,VA,1.09,1.1,1.1,1.1,1.1,1.1
81,Danville,City,VA,1.12,1.11,1.12,1.12,1.14,1.17
82,Dauphin,County,PA,1.13,1.14,1.14,1.15,1.15,1.16
83,Delaware,County,NY,1.12,1.11,1.11,1.13,1.15,1.16
84,Delaware,County,PA,1.11,1.11,1.11,1.13,1.13,1.12
85,Dickenson,County,VA,1.1,1.08,1.08,1.09,1.09,1.1
86,Dinwiddie,County,VA,1.09,1.08,1.09,1.11,1.1,1.1
87,District of Columbia,County,DC,1.07,1.07,1.07,1.09,1.1,1.12
88,Doddridge,County,WV,1.06,1.05,1.05,1.06,1.07,1.09
89,Dorchester,County,MD,1.08,1.07,1.06,1.06,1.06,1.06
90,Elk,County,PA,1.11,1.11,1.11,1.12,1.12,1.12
91,Emporia,City,VA,1.06,1.06,1.07,1.08,1.09,1.11
92,Erie,County,PA,1.12,1.12,1.13,1.13,1.12,1.11
93,Essex,County,VA,1.09,1.11,1.11,1.11,1.09,1.1
94,Fairfax,County,VA,1.08,1.07,1.07,1.08,1.08,1.09
95,Fairfax,City,VA,1.06,1.07,1.07,1.07,1.06,1.08
96,Falls Church,City,VA,1.07,1.08,1.07,1.07,1.06,1.07
97,Fauquier,County,VA,1.13,1.13,1.12,1.12,1.12,1.12
98,Fayette,County,PA,1.08,1.07,1.07,1.08,1.09,1.08
99,Fayette,County,WV,1.09,1.09,1.09,1.1,1.09,1.08
100,Floyd,County,VA,1.13,1.14,1.14,1.12,1.12,1.12
101,Fluvanna,County,VA,1.11,1.11,1.11,1.13,1.14,1.15
102,Forest,County,PA,1.11,1.11,1.12,1.12,1.12,1.14
103,Franklin,County,PA,1.12,1.12,1.11,1.11,1.12,1.12
104,Franklin,County,VA,1.13,1.15,1.15,1.15,1.17,1.18
105,Franklin,City,VA,1.11,1.1,1.1,1.12,1.13,1.13
106,Frederick,County,MD,1.12,1.11,1.11,1.1,1.09,1.08
107,Frederick,County,VA,1.14,1.13,1.13,1.12,1.11,1.1
108,Fredericksburg,City,VA,1.09,1.11,1.13,1.13,1.12,1.12
109,Fulton,County,PA,1.14,1.15,1.15,1.15,1.16,1.16
110,Galax,City,VA,1.13,1.13,1.13,1.11,1.1,1.1
111,Garrett,County,MD,1.08,1.08,1.08,1.07,1.07,1.07
112,Giles,County,VA,1.11,1.12,1.14,1.14,1.14,1.14
113,Gilmer,County,WV,1.12,1.11,1.11,1.1,1.09,1.07
114,Gloucester,County,NJ,1.12,1.11,1.11,1.11,1.11,1.12
115,Gloucester,County,VA,1.09,1.1,1.09,1.08,1.08,1.08
116,Goochland,County,VA,1.09,1.1,1.12,1.14,1.15,1.15
117,Grant,County,WV,1.08,1.08,1.08,1.08,1.08,1.09
118,Grayson,County,VA,1.11,1.12,1.12,1.11,1.1,1.1
119,Greenbrier,County,WV,1.12,1.12,1.12,1.13,1.13,1.14
120,Greene,County,NY,1.15,1.17,1.19,1.19,1.19,1.2
