,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,0.92,0.87,0.79,0.68,0.61,0.4
1,Adams,County,PA,0.87,0.81,0.78,0.61,0.5,0.41
2,Albemarle,County,VA,0.89,0.82,0.78,0.73,0.69,0.63
3,Alexandria,City,VA,0.88,0.84,0.82,0.76,0.62,0.55
4,Allegany,County,MD,0.97,0.94,0.89,0.84,0.8,0.76
5,Allegany,County,NY,0.93,0.91,0.9,0.82,0.73,0.69
6,Alleghany,County,VA,0.96,0.93,0.88,0.83,0.75,0.62
7,Allegheny,County,PA,0.91,0.9,0.9,0.81,0.71,0.66
8,Amelia,County,VA,0.92,0.88,0.81,0.72,0.63,0.5
9,Amherst,County,VA,0.94,0.88,0.85,0.8,0.78,0.71
10,Anne Arundel,County,MD,0.92,0.89,0.86,0.78,0.72,0.66
11,Appomattox,County,VA,0.95,0.91,0.87,0.78,0.66,0.54
12,Arlington,County,VA,0.92,0.87,0.83,0.76,0.62,0.55
13,Armstrong,County,PA,0.98,0.97,0.92,0.76,0.6,0.37
14,Atlantic,County,NJ,0.86,0.79,0.72,0.64,0.59,0.58
15,Augusta,County,VA,0.92,0.87,0.84,0.75,0.69,0.68
16,Baltimore,County,MD,0.89,0.87,0.81,0.73,0.66,0.61
17,Baltimore,County,MD,0.82,0.74,0.71,0.69,0.68,0.62
18,Barbour,County,WV,0.96,0.93,0.92,0.83,0.7,0.5
19,Bath,County,VA,0.95,0.9,0.84,0.76,0.7,0.64
20,Beaver,County,PA,0.96,0.89,0.84,0.76,0.66,0.52
21,Bedford,County,PA,0.93,0.9,0.86,0.79,0.74,0.71
22,Bedford,County,VA,0.96,0.93,0.92,0.9,0.83,0.68
23,Berkeley,County,WV,0.92,0.89,0.89,0.8,0.75,0.7
24,Berks,County,PA,0.97,0.96,0.94,0.87,0.81,0.74
25,Blair,County,PA,0.96,0.9,0.87,0.83,0.81,0.72
26,Bland,County,VA,0.94,0.94,0.94,0.89,0.83,0.77
27,Boone,County,WV,0.99,0.98,0.96,0.81,0.65,0.57
28,Botetourt,County,VA,0.96,0.93,0.88,0.8,0.77,0.72
29,Bradford,County,PA,0.98,0.93,0.86,0.77,0.7,0.66
30,Braxton,County,WV,1.0,0.97,0.9,0.79,0.69,0.57
31,Bristol,City,VA,0.98,0.95,0.91,0.76,0.63,0.61
32,Bronx,County,NY,0.91,0.9,0.83,0.67,0.55,0.36
33,Brooke,County,WV,0.91,0.89,0.79,0.68,0.63,0.57
34,Broome,County,NY,0.95,0.91,0.89,0.88,0.87,0.88
35,Brunswick,County,VA,0.87,0.83,0.8,0.66,0.56,0.69
36,Buchanan,County,VA,0.96,0.92,0.91,0.89,0.78,0.7
37,Buckingham,County,VA,0.91,0.89,0.89,0.88,0.82,0.78
38,Bucks,County,PA,0.98,0.97,0.94,0.8,0.68,0.59
39,Buena Vista,City,VA,0.92,0.87,0.82,0.75,0.65,0.47
40,Burlington,County,NJ,0.9,0.89,0.89,0.85,0.78,0.71
41,Butler,County,PA,0.98,0.95,0.89,0.76,0.65,0.46
42,Cabell,County,WV,0.98,0.93,0.9,0.85,0.75,0.66
43,Calhoun,County,WV,0.96,0.9,0.85,0.72,0.63,0.47
44,Calvert,County,MD,0.92,0.9,0.84,0.72,0.6,0.48
45,Cambria,County,PA,0.97,0.95,0.92,0.78,0.67,0.61
46,Camden,County,NJ,0.94,0.94,0.94,0.89,0.82,0.67
47,Cameron,County,PA,0.98,0.94,0.91,0.83,0.75,0.64
48,Campbell,County,VA,0.96,0.9,0.87,0.85,0.81,0.68
49,Cape May,County,NJ,0.93,0.88,0.85,0.81,0.77,0.54
50,Carbon,County,PA,0.94,0.92,0.82,0.68,0.58,0.45
51,Caroline,County,MD,0.96,0.92,0.84,0.76,0.64,0.55
52,Caroline,County,VA,0.94,0.87,0.78,0.63,0.53,0.41
53,Carroll,County,MD,0.94,0.89,0.83,0.74,0.67,0.58
54,Carroll,County,VA,0.98,0.97,0.96,0.91,0.87,0.83
55,Cecil,County,MD,0.98,0.9,0.81,0.68,0.58,0.48
56,Centre,County,PA,1.01,0.98,0.94,0.88,0.84,0.77
57,Charles,County,MD,0.87,0.87,0.78,0.63,0.54,0.5
58,Charles City,County,VA,0.93,0.88,0.82,0.73,0.63,0.55
59,Charlotte,County,VA,0.95,0.9,0.84,0.77,0.73,0.68
60,Charlottesville,City,VA,0.85,0.77,0.7,0.61,0.57,0.45
61,Chemung,County,NY,0.97,0.92,0.93,0.9,0.89,0.89
62,Chenango,County,NY,0.97,0.92,0.9,0.88,0.83,0.78
63,Chesapeake,City,VA,0.87,0.76,0.72,0.66,0.57,0.38
64,Chester,County,PA,0.95,0.89,0.83,0.76,0.71,0.68
65,Chesterfield,County,VA,0.93,0.88,0.86,0.75,0.67,0.64
66,Clarion,County,PA,0.96,0.96,0.88,0.77,0.66,0.5
67,Clarke,County,VA,0.92,0.91,0.83,0.66,0.55,0.44
68,Clay,County,WV,0.98,0.94,0.89,0.82,0.74,0.42
69,Clearfield,County,PA,1.0,1.0,0.97,0.91,0.87,0.76
70,Clinton,County,PA,0.97,0.93,0.9,0.86,0.72,0.58
71,Colonial Heights,City,VA,0.87,0.84,0.83,0.73,0.6,0.53
72,Columbia,County,PA,0.98,0.94,0.89,0.83,0.76,0.66
73,Cortland,County,NY,0.97,0.94,0.85,0.72,0.62,0.51
74,Covington,City,VA,0.92,0.91,0.9,0.78,0.67,0.56
75,Craig,County,VA,0.96,0.93,0.89,0.81,0.74,0.71
76,Crawford,County,PA,0.97,0.95,0.95,0.9,0.83,0.74
77,Culpeper,County,VA,0.95,0.93,0.89,0.76,0.66,0.54
78,Cumberland,County,NJ,0.92,0.83,0.78,0.72,0.68,0.55
79,Cumberland,County,PA,0.91,0.87,0.82,0.76,0.73,0.65
80,Cumberland,County,VA,0.93,0.9,0.89,0.84,0.76,0.66
