ID,Longterm SID,POR Start,POR End,Lat,Lon,rp_b_2-yr,rp_b_5-yr,rp_b_10-yr,rp_b_25-yr,rp_b_50-yr,rp_b_100-yr,FID,key_ix
USC00449301,USC00449301 6,"1893","2020",36.9617,-81.087,2.18514216894356,2.82409213920451,3.25231067000839,3.79933739020431,4.20950519286416,4.62034785211505,"5618",id49_181
USC00443267,USC00443267 6,"1948","2017",36.6633,-80.9139,0,0,0,0,0,0,"5617",id49_182
USC00443272,USC00443272 6,"1907","2020",36.65452,-80.91732,0,0,0,0,0,0,"5617",id49_182
USC00448169,USC00448169 6,"1913","2020",36.6365,-80.2545,2.79024990757031,3.69933383215182,4.41847432786835,5.48686016817778,6.41360823048515,7.46459562115677,"5646",id49_183
USC00445453,USC00445453 6,"1950","2020",36.6667,-80.4481,3.43264591643166,4.50112163620519,5.28328626956241,6.36573567004947,7.242767516046,8.18110514785061,"5646",id49_183
USC00449272,USC00449272 6,"1951","2020",36.77363,-80.26233,0,0,0,0,0,0,"5646",id49_183
USC00446692,USC00446692 6,"1953","2017",36.7764,-80.0272,0,0,0,0,0,0,"5646",id49_183
USC00445300,USC00445300 6,"1930","2020",36.7056,-79.865,0,0,0,0,0,0,"5645",id49_184
USC00447338,USC00447338 6,"1894","2020",36.9769,-79.8961,2.9725093126052,4.00420792810464,4.68236796892942,5.53366682822374,6.16122427418698,6.78081137573422,"5645",id49_184
USW00013728,USW00013728 6,"1945","2020",36.5729,-79.3351,0,0,0,0,0,0,"5648",id49_185
USC00442245,USC00442245 6,"1891","2020",36.56269,-79.36331,2.78652367937125,3.56717917639154,4.08452112775769,4.73873150033757,5.22445732217096,5.70692978601251,"5648",id49_185
USC00441614,USC00441614 6,"1922","2020",36.82204,-79.4102,2.77862415481817,3.8143438712096,4.61879990247025,5.79402854093942,6.79715850394843,7.91920403007955,"5648",id49_185
USC00441746,USC00441746 6,"1891","2020",36.6213,-78.5506,2.7216181748423,3.57596087031927,4.12663746099977,4.80581355087752,5.29795730687449,5.77682207861226,"5647",id49_186
USC00441180,USC00441180 6,"1948","2020",36.60028,-78.30112,2.41402454106231,3.05283574496084,3.50853534765182,4.12452436563636,4.6124082198656,5.12439362277059,"5642",id49_187
USC00441606,USC00441606 6,"1947","2020",36.7775,-78.4756,2.56074097988317,3.2550862745139,3.63963926172955,4.05388311323057,4.31675772620433,4.54541405959818,"5642",id49_187
USC00442790,USC00442790 6,"1893","2020",36.6983,-77.5597,2.66020617461614,3.48206804483406,4.09980103467068,4.97553656235969,5.70174844098812,6.49425955421425,"5641",id49_188
USC00448129,USC00448129 6,"1948","2020",36.9742,-77.4041,0,0,0,0,0,0,"5644",id49_189
USC00444044,USC00444044 6,"1933","2018",36.683,-76.7684,3.08027131716653,4.32628851251754,5.31194019743588,6.77623444383236,8.04637802885145,9.48677054515901,"5643",id49_190
USC00448192,USC00448192 6,"1945","2020",36.7297,-76.6015,2.88491237942892,3.9353466868161,4.76364262849179,5.99057499865732,7.05184887915539,8.25249315410464,"5643",id49_190
USC00448837,USC00448837 6,"1926","2020",36.5954,-76.4388,2.63060408787741,3.7758006364077,5.00748499137467,7.44494426062499,10.2189565013536,14.1933851713371,"5637",id49_191
USW00013769,USW00013769 6,"1945","2020",36.81667,-76.03333,0,0,0,0,0,0,"5637",id49_191
USW00013737,USW00013737 6,"1946","2020",36.9033,-76.1922,3.12523382375549,4.23291939045631,5.00624945674981,6.03134903603901,6.8280452354836,7.65074562680624,"5637",id49_191
USW00013750,USW00013750 6,"1945","2020",36.93746,-76.28926,0,0,0,0,0,0,"5637",id49_191
USC00440385,USC00440385 6,"1953","2015",36.662,-75.9115,0,0,0,0,0,0,"5635",id49_192
USC00441209,USC00441209 6,"1896","2020",37.0908,-81.33639,2.19006937929071,2.79880073412121,3.18051706032924,3.63981756782251,3.96471091591441,4.27444941359609,"5449",id50_181
USW00003859,USW00003859 6,"1959","2020",37.2978,-81.20366,0,0,0,0,0,0,"5449",id50_181
USC00467207,USC00467207 6,"1900","2020",37.3854,-81.08233,1.7721056756025,2.28587081816326,2.71179978706379,3.37249219863973,3.96976742607901,4.67149494000184,"5449",id50_181
USC00446955,USC00446955 6,"1920","2020",37.0556,-80.7842,0,0,0,0,0,0,"5448",id50_182
USC00446999,USC00446999 6,"1968","2020",37.2008,-80.5864,0,0,0,0,0,0,"5448",id50_182
USC00448022,USC00448022 6,"1951","2020",37.27866,-80.68884,0,0,0,0,0,0,"5448",id50_182
USC00441999,USC00441999 6,"1940","2020",37.08169,-80.13486,3.12114712435516,4.34057204481711,5.21928786464781,6.41804498517884,7.37596340330336,8.38882790871645,"5451",id50_183
USC00444676,USC00444676 6,"1951","2016",37.2392,-80.1994,0,0,0,0,0,0,"5451",id50_183
USC00440766,USC00440766 6,"1952","2020",37.2039,-80.4144,0,0,0,0,0,0,"5451",id50_183
USC00444148,USC00444148 6,"1950","2020",37.12587,-79.5251,2.560516278837,3.43595970299201,4.08505592194177,4.99387184957659,5.73853521864682,6.54291463928922,"5450",id50_184
USW00013741,USW00013741 6,"1948","2020",37.3169,-79.9741,2.5642018274982,3.44705811008038,4.10103637961618,5.01590401888331,5.76490762901483,6.5734061567068,"5450",id50_184
